Tempo,Saida
128,0
8108,0
15964,2
23876,19
31840,43
39792,81
47752,125
55772,177
63788,227
71804,277
79816,326
87828,370
95848,403
103860,436
111924,467
119988,493
128060,518
136116,535
144180,553
152244,572
160308,581
168380,595
176444,607
184508,614
192572,623
200632,628
208704,637
216768,644
224828,647
232900,650
240964,653
249028,657
257092,662
265148,663
273212,668
281276,666
289340,672
297412,667
305484,671
313556,671
321628,676
329684,676
337748,678
345812,679
353876,677
361948,678
370012,679
378076,678
386148,680
394204,680
402276,682
410340,680
418404,681
426476,679
434540,680
442612,678
450676,679
458732,679
466804,680
474868,684
482940,682
491004,685
499076,681
507148,683
515220,679
523284,680
531340,678
539404,681
547468,681
555532,682
563604,682
571668,680
579740,680
587804,679
595868,679
603940,679
612012,681
620076,682
628148,681
636220,684
644292,680
652356,681
660420,678
668484,680
676548,678
684612,680
692684,682
700748,681
708820,684
716884,680
724940,684
733004,679
741076,682
749140,677
757212,681
765284,678
773356,681
781428,683
789492,682
797564,683
805636,681
813708,681
821772,680
829844,681
837908,679
845972,681
854036,683
862100,681
870164,683
878236,679
886300,681
894372,678
902444,679
910508,677
918580,680
926644,681
934716,679
942788,682
950852,678
958924,680
966996,676
975068,680
983140,677
991196,681
999268,681
1007340,681
1015460,681
1023572,679
1031684,679
1039804,678
1047924,678
1056044,677
1064164,679
1072284,680
1080404,679
1088524,681
1096636,679
1104756,681
1112876,678
1120996,680
1129116,676
1137228,678
1145340,676
1153460,679
1161580,680
1169700,680
1177820,681
1185940,679
1194060,682
1202172,678
1210292,681
1218412,677
1226532,679
1234652,677
1242772,681
1250884,681
1259004,682
1267124,681
1275244,679
1283364,680
1291484,678
1299604,679
1307724,678
1315836,679
1323956,681
1332076,680
1340196,681
1348316,679
1356436,682
1364548,679
1372668,680
1380788,676
1388908,679
1397028,679
1405148,681
1413268,682
1421388,680
1429500,681
1437620,679
1445740,681
1453860,678
1461980,679
1470100,677
1478212,678
1486332,677
1494452,679
1502572,680
1510692,680
1518812,681
1526932,679
1535052,679
1543164,678
1551284,678
1559404,677
1567524,678
1575644,679
1583764,679
1591876,682
1599996,679
1608124,681
1616244,678
1624364,680
1632484,676
1640604,678
1648724,676
1656844,679
1664956,680
1673076,680
1681196,682
1689316,680
1697436,681
1705548,678
1713660,679
1721780,677
1729900,679
1738020,676
1746140,680
1754260,680
1762380,680
1770492,683
1778612,680
1786732,682
1794852,679
1802972,680
1811092,678
1819204,681
1827324,678
1835444,679
1843564,681
1851684,679
1859804,681
1867924,677
1876044,679
1884156,676
1892276,678
1900396,675
1908516,679
1916636,679
1924756,679
1932868,680
1940988,678
1949108,680
1957228,676
1965348,678
1973468,676
1981588,678
1989708,676
1997820,679
2005940,680
2014060,680
2022180,681
2030300,679
2038420,680
2046532,678
2054652,679
2062772,677
2070892,678
2079012,679
2087132,681
2095252,680
2103372,681
2111484,681
2119604,679
2127724,680
2135844,676
2143964,678
2152084,677
2160196,679
2168316,680
2176436,680
2184556,680
2192676,679
2200796,681
2208916,677
2217036,679
2225148,676
2233268,678
2241388,676
2249508,679
2257628,679
2265748,679
2273860,681
2281980,678
2290100,679
2298220,677
2306340,677
2314460,676
2322580,678
2330700,677
2338812,679
2346932,679
2355052,678
2363172,679
2371292,678
2379412,678
2387524,678
2395644,679
2403764,678
2411884,679
2420004,681
2428124,680
2436244,682
2444364,679
2452476,680
2460596,677
2468716,679
2476836,677
2484956,679
2493076,677
2501188,680
2509308,681
2517428,680
2525548,682
2533668,678
2541788,680
2549908,678
2558028,679
2566140,676
2574260,681
2582380,681
2590500,680
2598620,682
2606740,679
2614852,680
2622972,677
2631092,678
2639212,676
2647332,677
2655452,676
2663572,678
2671692,679
2679804,679
2687924,681
2696044,678
2704164,680
2712284,677
2720404,679
2728516,675
2736636,678
2744756,676
2752876,679
2760996,680
2769116,680
2777236,681
2785356,678
2793468,680
2801588,677
2809708,679
2817828,676
2825948,679
2834068,677
2842180,681
2850300,680
2858420,681
2866540,682
2874660,679
2882780,679
2890900,678
2899020,678
2907132,676
2915252,678
2923372,679
2931492,679
2939612,680
2947732,678
2955844,680
2963964,677
2972084,679
2980204,676
2988324,678
2996444,676

