Tempo, Uk, Vap, Erro, Saida
568,0.15,50.00,600.00,0.00
8592,0.30,50.00,600.00,0.00
16496,0.45,69.57,600.00,0.00
24464,0.59,91.72,600.00,0.00
32440,0.73,113.57,600.00,0.00
40464,0.87,135.19,600.00,0.00
48492,1.00,156.66,600.00,5.00
56540,1.13,176.93,595.00,24.00
64644,1.24,193.26,576.00,46.00
72736,1.32,205.89,554.00,82.00
80832,1.36,212.58,518.00,120.00
88992,1.37,214.15,480.00,169.00
97152,1.34,209.24,431.00,216.00
105316,1.28,199.55,384.00,266.00
113532,1.19,185.28,334.00,313.00
121748,1.08,167.82,287.00,359.00
129956,0.95,147.81,241.00,401.00
138172,0.81,126.34,199.00,432.00
146388,0.68,105.79,168.00,460.00
154596,0.55,86.27,140.00,482.00
162756,0.44,68.53,118.00,495.00
170916,0.35,53.83,105.00,505.00
179084,0.27,50.00,95.00,510.00
187180,0.21,50.00,90.00,507.00
195276,0.18,50.00,93.00,498.00
203372,0.17,50.00,102.00,490.00
211516,0.19,50.00,110.00,477.00
219668,0.22,50.00,123.00,461.00
227812,0.27,50.00,139.00,444.00
235964,0.35,53.86,156.00,430.00
244124,0.43,66.52,170.00,411.00
252284,0.52,81.48,189.00,400.00
260444,0.62,96.58,200.00,382.00
268604,0.73,113.40,218.00,368.00
276812,0.84,130.78,232.00,358.00
285020,0.95,147.84,242.00,351.00
293228,1.05,164.12,249.00,349.00
301436,1.15,178.82,251.00,351.00
309652,1.23,191.51,249.00,362.00
317868,1.29,200.77,238.00,377.00
326084,1.32,206.56,223.00,396.00
334300,1.34,208.80,204.00,416.00
342508,1.33,208.05,184.00,436.00
350716,1.31,204.91,164.00,466.00
358932,1.27,197.69,134.00,489.00
367148,1.21,188.70,111.00,513.00
375364,1.14,177.98,87.00,529.00
383532,1.07,167.48,71.00,551.00
391684,1.00,155.72,49.00,567.00
399836,0.92,144.11,33.00,576.00
407996,0.86,133.97,24.00,590.00
416156,0.79,123.74,10.00,598.00
424316,0.73,114.62,2.00,599.00
432428,0.69,107.73,1.00,603.00
440540,0.65,101.83,-3.00,602.00
448660,0.63,97.69,-2.00,599.00
456724,0.61,95.28,1.00,592.00
464772,0.61,95.03,8.00,588.00
472828,0.61,95.78,12.00,579.00
480932,0.63,98.38,21.00,570.00
489036,0.66,102.42,30.00,564.00
497196,0.69,106.95,36.00,552.00
505356,0.73,113.19,48.00,541.00
513516,0.77,120.58,59.00,531.00
521676,0.83,128.71,69.00,523.00
529836,0.88,137.03,77.00,518.00
537988,0.93,144.93,82.00,514.00
546148,0.98,152.35,86.00,511.00
554308,1.02,159.24,89.00,512.00
562468,1.06,164.90,88.00,512.00
570620,1.09,169.88,88.00,519.00
578772,1.11,172.85,81.00,524.00
586940,1.12,174.71,76.00,527.00
595108,1.13,176.13,73.00,537.00
603276,1.13,175.71,63.00,544.00
611436,1.12,174.48,56.00,553.00
619596,1.10,172.16,47.00,558.00
627748,1.09,169.83,42.00,568.00
635892,1.07,166.36,32.00,576.00
644052,1.04,162.39,24.00,584.00
652204,1.01,157.99,16.00,589.00
660364,0.99,153.83,11.00,594.00
668524,0.96,149.81,6.00,601.00
676628,0.93,145.41,-1.00,601.00
684748,0.91,142.18,-1.00,604.00
692876,0.89,139.15,-4.00,608.00
700996,0.87,136.03,-8.00,603.00
709116,0.86,134.75,-3.00,606.00
717236,0.85,133.13,-6.00,605.00
725356,0.85,132.10,-5.00,602.00
733476,0.85,131.95,-2.00,599.00
741596,0.85,132.47,1.00,597.00
749708,0.85,133.28,3.00,595.00
757804,0.86,134.34,5.00,589.00
765900,0.87,136.45,11.00,586.00
774060,0.89,138.75,14.00,584.00
782212,0.90,141.00,16.00,581.00
790356,0.92,143.44,19.00,580.00
798516,0.93,145.62,20.00,573.00
806676,0.95,148.92,27.00,576.00
