Tempo,Entrada,Erro,Saida
340,0.56,595.00,27.78
7928,0.94,567.22,71.96
15416,1.28,523.04,129.66
23008,1.54,465.34,195.10
30600,1.73,399.90,264.48
38200,1.85,330.52,334.09
45800,1.91,260.91,401.09
53400,1.93,193.91,463.23
61004,1.90,131.77,518.91
68596,1.84,76.09,567.08
76136,1.76,27.92,607.21
83684,1.67,-12.21,639.20
91248,1.56,-44.20,663.29
98804,1.45,-68.29,680.00
106356,1.35,-85.00,690.06
113960,1.25,-95.06,694.32
121572,1.15,-99.32,693.72
129192,1.07,-98.72,689.21
136800,1.01,-94.21,681.71
144416,0.95,-86.71,672.11
152028,0.91,-77.11,661.19
159644,0.88,-66.19,649.65
167260,0.86,-54.65,638.08
174864,0.85,-43.08,626.95
182472,0.85,-31.95,616.65
190080,0.85,-21.65,607.42
197696,0.86,-12.42,599.45
205304,0.87,-4.45,592.81
212864,0.89,2.19,587.53
220412,0.91,7.47,583.56
227956,0.92,11.44,580.81
235552,0.94,14.19,579.16
243152,0.96,15.84,578.48
250748,0.97,16.52,578.60
258344,0.99,16.40,579.36
265928,1.00,15.64,580.62
273528,1.01,14.38,582.23
281124,1.01,12.77,584.05
288716,1.02,10.95,585.97
296316,1.02,9.03,587.89
303848,1.02,7.11,589.73
311400,1.03,5.27,591.44
318948,1.02,3.56,592.97
326492,1.02,2.03,594.29
334040,1.02,0.71,595.39
341584,1.02,-0.39,596.26
349136,1.01,-1.26,596.92
356700,1.01,-1.92,597.37
364256,1.01,-2.37,597.64
371820,1.01,-2.64,597.75
379380,1.00,-2.75,597.73
386936,1.00,-2.73,597.60
394492,1.00,-2.60,597.38
402044,1.00,-2.38,597.12
409596,1.00,-2.12,596.81
417164,1.00,-1.81,596.49
424716,1.00,-1.49,596.17
432280,1.00,-1.17,595.87
439836,1.00,-0.87,595.58
447388,1.00,-0.58,595.33
454948,1.00,-0.33,595.11
462504,1.00,-0.11,594.93
470064,1.00,0.07,594.79
477596,1.00,0.21,594.68
485136,1.00,0.32,594.60
492676,1.00,0.40,594.56
500208,1.00,0.44,594.54
507744,1.00,0.46,594.55
515292,1.00,0.45,594.57
522824,1.00,0.43,594.60
530356,1.00,0.40,594.65
537896,1.00,0.35,594.70
545424,1.00,0.30,594.75
552956,1.00,0.25,594.81
560500,1.00,0.19,594.86
568032,1.00,0.14,594.90
575568,1.00,0.10,594.95
583100,1.00,0.05,594.98
590624,1.00,0.02,595.01
598152,1.00,-0.01,595.04
605692,1.00,-0.04,595.05
613224,1.00,-0.05,595.07
620776,1.00,-0.07,595.07
628320,1.00,-0.07,595.08
635860,1.00,-0.08,595.08
643412,1.00,-0.08,595.07
650952,1.00,-0.07,595.07
658504,1.00,-0.07,595.06
666044,1.00,-0.06,595.05
673580,1.00,-0.05,595.04
681124,1.00,-0.04,595.03
688664,1.00,-0.03,595.02
696204,1.00,-0.02,595.02
703748,1.00,-0.02,595.01
711292,1.00,-0.01,595.00
718832,1.00,-0.00,595.00
726368,1.00,0.00,594.99
733892,1.00,0.01,594.99
741428,1.00,0.01,594.99
748960,1.00,0.01,594.99
756488,1.00,0.01,594.99
764024,1.00,0.01,594.99
771556,1.00,0.01,594.99
779088,1.00,0.01,594.99
786624,1.00,0.01,594.99
794152,1.00,0.01,594.99
801684,1.00,0.01,594.99
809216,1.00,0.01,594.99
816748,1.00,0.01,595.00
824272,1.00,0.00,595.00
831796,1.00,0.00,595.00
839312,1.00,0.00,595.00
846832,1.00,0.00,595.00
854356,1.00,-0.00,595.00
861888,1.00,-0.00,595.00
869428,1.00,-0.00,595.00
876960,1.00,-0.00,595.00
884488,1.00,-0.00,595.00
892024,1.00,-0.00,595.00
899556,1.00,-0.00,595.00
907084,1.00,-0.00,595.00
914620,1.00,-0.00,595.00
922152,1.00,-0.00,595.00
929684,1.00,-0.00,595.00
937216,1.00,-0.00,595.00
