Tempo,Entrada,Erro,Saida
312,0.00,200.00,0.00
7772,0.00,200.00,0.00
15128,0.01,200.00,0.30
22580,0.01,199.70,0.87
30032,0.02,199.13,1.63
37504,0.02,198.37,2.49
44968,0.02,197.51,3.42
52440,0.03,196.58,4.39
59908,0.03,195.61,5.38
67372,0.04,194.62,6.38
74844,0.04,193.62,7.39
82308,0.04,192.61,8.41
89776,0.05,191.59,9.42
97240,0.05,190.58,10.43
104764,0.06,189.57,11.43
112332,0.06,188.57,12.44
119912,0.06,187.56,13.43
127480,0.07,186.57,14.43
135052,0.07,185.57,15.41
142628,0.08,184.59,16.40
150192,0.08,183.60,17.37
157764,0.08,182.63,18.34
165332,0.09,181.66,19.31
172900,0.09,180.69,20.27
180476,0.10,179.73,21.23
188052,0.10,178.77,22.18
195628,0.10,177.82,23.13
203200,0.11,176.87,24.07
210772,0.11,175.93,25.00
218344,0.11,175.00,25.94
225912,0.12,174.06,26.86
233488,0.12,173.14,27.78
241068,0.13,172.22,28.70
248644,0.13,171.30,29.61
256224,0.13,170.39,30.52
263800,0.14,169.48,31.42
271384,0.14,168.58,32.32
278960,0.14,167.68,33.21
286536,0.15,166.79,34.10
294116,0.15,165.90,34.98
301684,0.15,165.02,35.86
309260,0.16,164.14,36.73
316840,0.16,163.27,37.60
324412,0.16,162.40,38.47
331988,0.17,161.53,39.33
339572,0.17,160.67,40.18
347152,0.18,159.82,41.03
354728,0.18,158.97,41.88
362304,0.18,158.12,42.72
369892,0.19,157.28,43.56
377472,0.19,156.44,44.39
385056,0.19,155.61,45.22
392632,0.20,154.78,46.04
400200,0.20,153.96,46.86
407776,0.20,153.14,47.68
415348,0.21,152.32,48.49
422940,0.21,151.51,49.29
430516,0.21,150.71,50.10
438092,0.21,149.90,50.89
445668,0.22,149.11,51.69
453244,0.22,148.31,52.48
460828,0.22,147.52,53.26
468404,0.23,146.74,54.04
475976,0.23,145.96,54.82
483564,0.23,145.18,55.59
491144,0.24,144.41,56.36
498732,0.24,143.64,57.13
506316,0.24,142.87,57.89
513892,0.25,142.11,58.64
