Tempo,Entrada,Erro,Saida
544,11.07,200.00,0.00
8200,13.47,200.00,0.00
15760,15.87,200.00,0.00
23368,18.28,200.00,0.00
30992,20.68,200.00,0.00
38600,23.08,200.00,0.00
46208,25.48,200.00,0.00
53816,27.89,200.00,0.00
61424,30.29,200.00,0.00
69040,32.69,200.00,0.00
76648,35.10,200.00,0.00
84264,37.50,200.00,0.00
91872,39.90,200.00,0.00
99488,42.31,200.00,0.00
107104,44.71,200.00,0.00
114768,47.11,200.00,0.00
122432,49.51,200.00,0.00
130096,51.92,200.00,0.00
137760,54.32,200.00,0.00
145424,56.72,200.00,0.00
153088,59.13,200.00,0.00
160752,61.53,200.00,0.00
168424,63.93,200.00,0.00
176088,66.34,200.00,0.00
183760,68.74,200.00,0.00
191424,71.14,200.00,0.00
199096,73.55,200.00,0.00
206760,75.95,200.00,0.00
214432,78.35,200.00,0.00
222100,80.75,200.00,5.00
229788,82.88,195.00,14.00
237516,84.73,186.00,21.00
245260,86.57,179.00,29.00
252996,88.28,171.00,43.00
260732,89.56,157.00,55.00
268464,90.78,145.00,66.00
276200,91.92,134.00,80.00
283936,92.75,120.00,90.00
291672,93.64,110.00,102.00
299464,94.30,98.00,115.00
307192,94.76,85.00,128.00
314936,95.06,72.00,141.00
322664,95.21,59.00,155.00
330400,95.14,45.00,170.00
338136,94.85,30.00,182.00
345864,94.55,18.00,195.00
353608,94.04,5.00,205.00
361280,93.55,-5.00,216.00
368976,92.88,-16.00,226.00
376720,92.14,-26.00,236.00
384472,91.27,-36.00,246.00
392216,90.28,-46.00,254.00
399964,89.29,-54.00,261.00
407724,88.25,-61.00,266.00
415476,87.24,-66.00,272.00
423236,86.12,-72.00,280.00
430988,84.81,-80.00,285.00
438748,83.57,-85.00,288.00
446500,82.39,-88.00,291.00
454252,81.16,-91.00,296.00
462012,79.79,-96.00,298.00
469764,78.53,-98.00,299.00
477524,77.30,-99.00,298.00
485276,76.16,-98.00,297.00
493036,75.04,-97.00,299.00
500780,73.76,-99.00,298.00
508532,72.63,-98.00,298.00
516292,71.45,-98.00,294.00
524044,70.50,-94.00,291.00
531796,69.53,-91.00,289.00
539548,68.55,-89.00,285.00
547308,67.70,-85.00,283.00
555052,66.79,-83.00,279.00
562804,66.01,-79.00,275.00
570564,65.29,-75.00,271.00
578316,64.61,-71.00,267.00
586076,63.98,-67.00,262.00
593828,63.45,-62.00,257.00
601584,62.98,-57.00,251.00
609328,62.63,-51.00,246.00
617080,62.29,-46.00,238.00
624832,62.18,-38.00,234.00
632584,61.94,-34.00,231.00
640336,61.70,-31.00,225.00
648080,61.66,-25.00,219.00
655832,61.69,-19.00,212.00
663576,61.85,-12.00,207.00
671320,61.98,-7.00,203.00
679008,62.12,-3.00,198.00
686704,62.36,2.00,192.00
694392,62.72,8.00,189.00
702080,62.98,11.00,184.00
709816,63.39,16.00,179.00
717552,63.86,21.00,176.00
725288,64.28,24.00,171.00
733024,64.84,29.00,169.00
740760,65.30,31.00,166.00
748488,65.84,34.00,163.00
756224,66.41,37.00,163.00
763960,66.86,37.00,158.00
771696,67.58,42.00,157.00
779432,68.14,43.00,157.00
787168,68.66,43.00,154.00
794912,69.34,46.00,155.00
802648,69.84,45.00,156.00
810392,70.32,44.00,154.00
818128,70.96,46.00,156.00
825864,71.40,44.00,155.00
833592,71.99,45.00,155.00
841328,72.53,45.00,157.00
849064,72.96,43.00,155.00
856800,73.58,45.00,160.00
864536,73.85,40.00,160.00
872264,74.33,40.00,159.00
880008,74.87,41.00,164.00
887744,75.08,36.00,166.00
895472,75.40,34.00,166.00
903200,75.81,34.00,169.00
910928,76.05,31.00,174.00
918664,76.15,26.00,175.00
926400,76.41,25.00,176.00
934136,76.65,24.00,180.00
941872,76.72,20.00,182.00
