Tempo,Saida
128,0
588,0
948,0
1308,0
1716,0
2128,0
2540,0
2932,0
3348,0
3756,0
4168,0
4580,0
4972,0
5388,0
5796,0
6208,0
6620,0
7012,0
7428,0
7836,0
8248,0
8660,0
9052,0
9468,0
9876,0
10288,0
10868,0
11548,0
12228,0
12908,0
13588,0
14268,1
14948,1
15628,2
16308,3
16988,4
17668,6
18348,6
19028,8
19708,10
20460,11
21224,12
21988,15
22756,16
23520,18
24284,19
25048,22
25816,24
26580,25
27344,30
28108,30
28876,34
29640,37
30404,42
31168,44
31936,48
32700,52
33464,54
34228,57
34996,61
35760,63
36524,65
37288,68
38056,73
38820,77
39584,81
40348,85
41116,89
41880,94
42644,97
43408,100
44260,104
45108,110
45960,115
46808,119
47660,124
48508,131
49360,135
50208,139
51060,144
51908,148
52760,154
53608,161
54460,166
55316,171
56160,176
57008,182
57860,187
58708,194
59560,199
60408,203
61260,206
62108,215
62960,220
63808,227
64660,232
65508,236
66360,242
67208,249
68060,255
68908,260
69760,264
70608,271
71460,278
72308,283
73160,287
74008,294
74860,301
75708,308
76560,312
77408,316
78260,324
79108,331
79960,335
80808,341
81660,347
82508,354
83360,360
84208,363
85060,370
85908,377
86760,381
87608,387
88460,393
89308,400
90160,404
91008,409
91860,417
92708,422
93560,427
94408,432
95260,439
96108,443
96960,448
97808,455
98660,460
99508,464
100364,471
101296,477
102228,480
103164,487
104100,494
105036,497
105968,503
106904,509
107840,513
108776,520
109708,525
110644,529
111580,534
112516,540
113448,542
114384,548
115320,553
116256,556
117188,561
118124,566
119060,568
119996,574
120928,578
121872,581
122800,586
123736,589
124668,593
125604,599
126540,600
127476,604
128408,609
129344,611
130280,615
131216,619
132148,620
133084,624
134020,628
134956,629
135888,634
136824,637
137760,639
138696,643
139628,645
140564,647
141500,652
142436,652
143376,655
144304,659
145240,658
146176,662
147108,666
148044,666
148980,670
149916,672
150848,672
151784,677
152720,678
153656,680
154588,683
155524,684
156460,686
157396,688
158328,689
159264,693
160200,695
161136,695
162068,699
163004,699
163940,703
164880,705
165808,703
166744,706
167680,709
168616,709
169548,713
170484,713
171420,713
172356,717
173288,715
174224,719
175160,722
176096,720
177028,723
177964,724
178900,725
179836,727
180768,728
181704,729
182640,731
183576,730
184508,733
185444,734
186384,734
187316,736
188248,735
189184,737
190120,739
191056,738
191988,740
192924,742
193860,742
194796,744
195728,743
196664,744
197600,747
198536,746
199468,748
200404,749
201340,747
202276,750
203208,748
204144,750
205080,751
206016,750
206948,752
207892,754
208820,754
209756,756
210688,756
211624,756
212560,758
213496,757
214428,758
215364,759
216300,757
217236,760
218168,758
219104,759
220040,762
220976,759
221908,761
222844,762
223780,761
224716,764
225648,764
226584,763
227520,765
228456,764
229396,766
230324,767
231260,765
232196,766
233128,765
234064,766
235000,767
235936,765
236868,767
237804,768
238740,768
239676,769
240608,769
241544,769
242480,771
243416,770
244348,771
245284,772
246220,770
247156,774
248088,770
249024,771
249960,773
250900,769
251828,772
252764,773
253700,772
254636,774
255568,772
256504,772
257440,774
258376,774
259308,776
260244,775
261180,774
262116,776
263048,774
263984,776
264920,776
265856,774
266788,775
267724,776
268660,775
269596,778
270528,775
271464,777
272404,778
273336,776
274268,778
275204,778
276140,777
277076,779
278008,776
278944,778
279880,780
280816,777
281748,779
282684,778
283620,778
284556,780
285488,778
286424,778
287360,780
288296,779
289228,780
290164,780
291100,779
292036,781
292968,780
293908,781
294840,781
295776,780
296708,781
297644,781
298580,781
299516,782
300448,779
301384,782
302320,781
303256,780
304188,782
305124,781
306060,781
306996,782
307928,781
308864,784
309800,783
310736,780
311668,783
312604,781
313540,783
314476,783
315412,781
316344,783
317280,782
318216,781
319148,783
320084,780
321020,783
321956,782
322888,781
323824,783
324760,782
325696,782
326628,784
327564,782
328500,783
329436,784
330368,782
331304,784
332240,783
333176,783
334108,784
335044,781
335980,783
336916,782
337848,782
338784,784
339720,783
340656,782
