Tempo, Uk, xhat, Erro, Saida
568,1.05,0.00,595.00,0.00
8536,1.81,0.01,595.00,0.00
16392,2.91,0.01,595.00,0.00
24300,3.62,0.02,595.00,14.00
32284,4.62,0.02,581.00,39.00
40264,5.09,0.03,556.00,75.00
48248,5.96,0.03,520.00,116.00
56280,6.18,0.05,479.00,163.00
64320,6.96,0.05,432.00,216.00
72356,6.85,0.07,379.00,271.00
80396,7.58,0.07,324.00,326.00
88444,7.14,0.09,269.00,384.00
96492,7.86,0.08,211.00,432.00
104524,7.14,0.11,163.00,485.00
112620,7.89,0.10,110.00,527.00
120716,6.87,0.13,68.00,569.00
128764,7.78,0.10,26.00,599.00
136804,6.43,0.14,-4.00,632.00
144812,7.61,0.11,-37.00,653.00
152876,5.84,0.15,-58.00,675.00
160940,7.45,0.10,-80.00,690.00
168988,5.11,0.17,-95.00,703.00
177052,7.39,0.10,-108.00,720.00
185164,4.14,0.18,-125.00,728.00
193276,7.44,0.08,-133.00,735.00
201380,3.02,0.20,-140.00,745.00
209484,7.63,0.06,-150.00,750.00
217596,1.65,0.22,-155.00,751.00
225716,8.15,0.03,-156.00,761.00
233828,-0.14,0.26,-166.00,762.00
241956,9.04,-0.01,-167.00,762.00
250076,-2.32,0.30,-167.00,767.00
258204,10.42,-0.07,-172.00,762.00
266380,-5.08,0.36,-167.00,754.00
274500,12.68,-0.15,-159.00,748.00
282676,-8.67,0.45,-153.00,739.00
290796,16.04,-0.26,-144.00,734.00
298972,-13.44,0.57,-139.00,724.00
307156,20.88,-0.41,-129.00,719.00
315340,-19.85,0.74,-124.00,710.00
323516,27.75,-0.61,-115.00,705.00
331700,-28.56,0.97,-110.00,696.00
339884,37.40,-0.90,-101.00,692.00
348060,-40.46,1.30,-97.00,685.00
356188,50.86,-1.29,-90.00,682.00
364324,-56.80,1.76,-87.00,679.00
372460,69.56,-1.82,-84.00,674.00
380596,-79.27,2.38,-79.00,672.00
388732,95.52,-2.57,-77.00,665.00
396868,-110.21,3.25,-70.00,663.00
405060,131.53,-3.59,-68.00,659.00
413252,-152.95,4.45,-64.00,659.00
421444,181.39,-5.01,-64.00,658.00
429628,-212.01,6.12,-63.00,653.00
437820,250.49,-6.97,-58.00,654.00
446012,-293.63,8.42,-59.00,648.00
454212,346.15,-9.68,-53.00,651.00
462412,-406.47,11.61,-56.00,649.00
470660,478.48,-13.43,-54.00,649.00
478908,-562.43,16.01,-54.00,647.00
487148,661.56,-18.61,-52.00,644.00
495396,-778.04,22.11,-49.00,643.00
503636,914.83,-25.78,-48.00,645.00
511884,-1076.24,30.54,-50.00,646.00
520180,1265.15,-35.70,-51.00,647.00
528476,-1488.59,42.20,-52.00,640.00
536764,1749.83,-49.41,-45.00,643.00
545068,-2058.86,58.33,-48.00,639.00
553372,2420.18,-68.38,-44.00,642.00
561668,-2847.52,80.63,-47.00,642.00
569964,3347.34,-94.62,-47.00,640.00
578268,-3938.18,111.48,-45.00,640.00
586620,4629.71,-130.90,-45.00,638.00
594972,-5446.58,154.15,-43.00,640.00
