Tempo, Uk, xhat, Erro, Saida
568,0.12,0.00,595.00,0.00
8536,0.23,0.00,595.00,0.00
16392,0.34,0.00,595.00,0.00
24288,0.45,0.00,595.00,0.00
32192,0.56,0.00,595.00,0.00
40096,0.67,0.01,595.00,0.00
48000,0.78,0.01,595.00,0.00
55908,0.90,0.01,595.00,6.00
63836,1.00,0.01,589.00,20.00
71812,1.10,0.01,575.00,49.00
79784,1.19,0.02,546.00,83.00
87776,1.26,0.02,512.00,119.00
95808,1.32,0.03,476.00,158.00
103848,1.38,0.03,437.00,204.00
111936,1.42,0.04,391.00,245.00
120028,1.46,0.05,350.00,289.00
128116,1.49,0.05,306.00,330.00
136204,1.51,0.06,265.00,372.00
144292,1.52,0.07,223.00,412.00
152388,1.53,0.07,183.00,445.00
160484,1.53,0.08,150.00,480.00
168580,1.53,0.08,115.00,512.00
176676,1.53,0.09,83.00,535.00
184716,1.52,0.09,60.00,563.00
192756,1.51,0.10,32.00,586.00
200796,1.49,0.10,9.00,604.00
208780,1.48,0.10,-9.00,623.00
216780,1.46,0.10,-28.00,635.00
224836,1.44,0.11,-40.00,649.00
232900,1.42,0.11,-54.00,658.00
240964,1.41,0.11,-63.00,669.00
249028,1.39,0.11,-74.00,673.00
257084,1.37,0.11,-78.00,682.00
265140,1.35,0.11,-87.00,685.00
273204,1.33,0.11,-90.00,692.00
281268,1.30,0.11,-97.00,692.00
289324,1.28,0.11,-97.00,697.00
297388,1.26,0.11,-102.00,695.00
305500,1.24,0.11,-100.00,699.00
313612,1.22,0.11,-104.00,697.00
321724,1.20,0.11,-102.00,699.00
329828,1.18,0.11,-104.00,695.00
337932,1.17,0.11,-100.00,696.00
346044,1.15,0.11,-101.00,691.00
354156,1.13,0.11,-96.00,691.00
362220,1.12,0.11,-96.00,684.00
370284,1.10,0.11,-89.00,684.00
378340,1.09,0.11,-89.00,677.00
386396,1.08,0.11,-82.00,679.00
394460,1.06,0.11,-84.00,675.00
402508,1.05,0.11,-80.00,673.00
410556,1.03,0.11,-78.00,669.00
418612,1.02,0.11,-74.00,662.00
426668,1.01,0.11,-67.00,660.00
434724,1.00,0.11,-65.00,658.00
442772,0.99,0.11,-63.00,651.00
450828,0.99,0.10,-56.00,648.00
458876,0.98,0.10,-53.00,645.00
466916,0.97,0.10,-50.00,640.00
474972,0.97,0.10,-45.00,636.00
483028,0.96,0.10,-41.00,636.00
491084,0.96,0.10,-41.00,630.00
499140,0.95,0.10,-35.00,625.00
507188,0.95,0.10,-30.00,624.00
515236,0.95,0.10,-29.00,617.00
523284,0.95,0.10,-22.00,615.00
531332,0.94,0.10,-20.00,615.00
539380,0.94,0.10,-20.00,607.00
