Tempo, Uk, xhat, Erro, Saida
568,0.12,0.00,595.00,0.00
8536,0.23,0.00,595.00,0.00
16376,0.34,0.00,595.00,0.00
24280,0.45,0.00,595.00,0.00
32184,0.56,0.00,595.00,0.00
40088,0.67,0.01,595.00,0.00
47992,0.79,0.01,595.00,0.00
55908,0.90,0.01,595.00,5.00
63836,1.00,0.01,590.00,16.00
71812,1.11,0.01,579.00,37.00
79792,1.20,0.02,558.00,69.00
87776,1.28,0.02,526.00,104.00
95808,1.34,0.03,491.00,149.00
103848,1.40,0.03,446.00,193.00
111936,1.44,0.04,402.00,238.00
120028,1.48,0.05,357.00,282.00
128116,1.51,0.05,313.00,327.00
136204,1.53,0.06,268.00,371.00
144292,1.54,0.07,224.00,410.00
152388,1.55,0.07,185.00,451.00
160484,1.55,0.08,144.00,482.00
168572,1.55,0.08,113.00,515.00
176668,1.54,0.09,80.00,546.00
184708,1.53,0.09,49.00,568.00
192748,1.52,0.10,27.00,592.00
200788,1.50,0.10,3.00,609.00
208764,1.49,0.10,-14.00,628.00
216820,1.47,0.10,-33.00,641.00
224876,1.45,0.11,-46.00,657.00
232932,1.43,0.11,-62.00,665.00
240996,1.41,0.11,-70.00,677.00
249060,1.38,0.11,-82.00,682.00
257116,1.36,0.11,-87.00,690.00
265172,1.34,0.11,-95.00,693.00
273236,1.32,0.11,-98.00,699.00
281300,1.30,0.11,-104.00,701.00
289412,1.27,0.11,-106.00,705.00
297524,1.25,0.11,-110.00,704.00
305636,1.23,0.11,-109.00,706.00
313748,1.21,0.11,-111.00,704.00
321868,1.19,0.11,-109.00,704.00
329980,1.17,0.11,-109.00,703.00
338092,1.15,0.11,-108.00,702.00
346204,1.13,0.11,-107.00,700.00
354316,1.11,0.11,-105.00,697.00
362428,1.09,0.11,-102.00,693.00
370532,1.08,0.11,-98.00,693.00
378588,1.06,0.11,-98.00,686.00
386644,1.05,0.11,-91.00,685.00
394700,1.03,0.11,-90.00,678.00
402756,1.02,0.11,-83.00,677.00
410812,1.01,0.11,-82.00,674.00
418860,0.99,0.11,-79.00,669.00
426908,0.98,0.11,-74.00,666.00
434964,0.97,0.11,-71.00,658.00
443020,0.96,0.11,-63.00,657.00
451076,0.95,0.10,-62.00,655.00
459124,0.94,0.10,-60.00,648.00
467172,0.94,0.10,-53.00,644.00
475220,0.93,0.10,-49.00,643.00
483268,0.93,0.10,-48.00,634.00
491324,0.92,0.10,-39.00,634.00
499380,0.92,0.10,-39.00,630.00
507436,0.91,0.10,-35.00,622.00
515484,0.91,0.10,-27.00,621.00
523532,0.91,0.10,-26.00,617.00
531580,0.91,0.10,-22.00,613.00
539628,0.91,0.10,-18.00,607.00
