Tempo,Entrada,Erro,Saida
340,0.12,595.00,5.78
7876,0.22,589.22,16.43
15368,0.33,578.57,31.24
22912,0.42,563.76,49.57
30448,0.51,545.43,70.83
37992,0.60,524.17,94.49
45528,0.67,500.51,120.04
53116,0.75,474.96,147.02
60712,0.81,447.98,175.00
68292,0.87,420.00,203.61
75884,0.92,391.39,232.51
83480,0.97,362.49,261.40
91064,1.02,333.60,290.00
98648,1.05,305.00,318.08
106224,1.09,276.92,345.44
113876,1.11,249.56,371.91
121528,1.14,223.09,397.35
129180,1.16,197.65,421.64
136832,1.17,173.36,444.69
144488,1.19,150.31,466.43
152144,1.19,128.57,486.81
159804,1.20,108.19,505.80
167440,1.20,89.20,523.39
175028,1.21,71.61,539.58
182636,1.20,55.42,554.38
190228,1.20,40.62,567.81
197828,1.20,27.19,579.92
205424,1.19,15.08,590.75
213024,1.19,4.25,600.34
220572,1.18,-5.34,608.75
228132,1.17,-13.75,616.04
235744,1.16,-21.04,622.28
243352,1.15,-27.28,627.53
250972,1.14,-32.53,631.85
258584,1.13,-36.85,635.33
266196,1.12,-40.33,638.01
273812,1.11,-43.01,639.98
281416,1.10,-44.98,641.30
289020,1.09,-46.30,642.03
296612,1.08,-47.03,642.24
304220,1.07,-47.24,641.98
311824,1.07,-46.98,641.31
319436,1.06,-46.31,640.29
327056,1.05,-45.29,638.96
334664,1.04,-43.96,637.38
342276,1.03,-42.38,635.59
349880,1.03,-40.59,633.63
357496,1.02,-38.63,631.55
365104,1.02,-36.55,629.36
372720,1.01,-34.36,627.11
380336,1.01,-32.11,624.83
387944,1.00,-29.83,622.54
395552,1.00,-27.54,620.26
403156,1.00,-25.26,618.01
410760,0.99,-23.01,615.81
418360,0.99,-20.81,613.68
425960,0.99,-18.68,611.62
433568,0.99,-16.62,609.65
441172,0.99,-14.65,607.78
448780,0.99,-12.78,606.00
456376,0.98,-11.00,604.34
463976,0.98,-9.34,602.78
471528,0.98,-7.78,601.33
479080,0.98,-6.33,599.99
486640,0.98,-4.99,598.77
494192,0.98,-3.77,597.65
501744,0.98,-2.65,596.64
509304,0.98,-1.64,595.74
516860,0.98,-0.74,594.93
524416,0.99,0.07,594.22
531948,0.99,0.78,593.60
539480,0.99,1.40,593.06
547016,0.99,1.94,592.61
554556,0.99,2.39,592.23
562100,0.99,2.77,591.93
569648,0.99,3.07,591.69
577180,0.99,3.31,591.50
584724,0.99,3.50,591.37
592256,0.99,3.63,591.29
599796,0.99,3.71,591.26
607348,0.99,3.74,591.26
614888,0.99,3.74,591.30
622420,0.99,3.70,591.37
629964,1.00,3.63,591.46
637504,1.00,3.54,591.58
645044,1.00,3.42,591.71
652592,1.00,3.29,591.86
660128,1.00,3.14,592.02
667668,1.00,2.98,592.19
675208,1.00,2.81,592.37
682744,1.00,2.63,592.55
690292,1.00,2.45,592.73
697832,1.00,2.27,592.91
705372,1.00,2.09,593.09
712904,1.00,1.91,593.27
720448,1.00,1.73,593.44
727984,1.00,1.56,593.61
735532,1.00,1.39,593.76
743068,1.00,1.24,593.92
750612,1.00,1.08,594.06
758136,1.00,0.94,594.20
765664,1.00,0.80,594.33
773204,1.00,0.67,594.44
780736,1.00,0.56,594.55
788272,1.00,0.45,594.66
795816,1.00,0.34,594.75
803352,1.00,0.25,594.83
810884,1.00,0.17,594.91
818424,1.00,0.09,594.98
825952,1.00,0.02,595.04
833472,1.00,-0.04,595.09
841012,1.00,-0.09,595.13
848552,1.00,-0.13,595.17
856108,1.00,-0.17,595.21
863656,1.00,-0.21,595.23
871208,1.00,-0.23,595.25
878760,1.00,-0.25,595.27
886308,1.00,-0.27,595.28
893856,1.00,-0.28,595.29
901412,1.00,-0.29,595.30
908952,1.00,-0.30,595.30
916500,1.00,-0.30,595.29
924040,1.00,-0.29,595.29
931592,1.00,-0.29,595.28
939148,1.00,-0.28,595.28
946700,1.00,-0.28,595.27
954256,1.00,-0.27,595.25
961816,1.00,-0.25,595.24
969368,1.00,-0.24,595.23
976924,1.00,-0.23,595.22
984480,1.00,-0.22,595.20
992028,1.00,-0.20,595.19
999576,1.00,-0.19,595.17
1007132,1.00,-0.17,595.16
1014736,1.00,-0.16,595.14
1022348,1.00,-0.14,595.13
1029952,1.00,-0.13,595.12
1037564,1.00,-0.12,595.10
1045160,1.00,-0.10,595.09
1052756,1.00,-0.09,595.08
1060344,1.00,-0.08,595.07
1067932,1.00,-0.07,595.06
1075528,1.00,-0.06,595.05
1083120,1.00,-0.05,595.04
1090716,1.00,-0.04,595.03
1098304,1.00,-0.03,595.02
1105896,1.00,-0.02,595.02
1113492,1.00,-0.02,595.01
1121088,1.00,-0.01,595.00
1128680,1.00,-0.00,595.00
1136260,1.00,0.00,594.99
1143844,1.00,0.01,594.99
1151424,1.00,0.01,594.99
1159008,1.00,0.01,594.98
1166596,1.00,0.02,594.98
1174176,1.00,0.02,594.98
1181764,1.00,0.02,594.98
1189340,1.00,0.02,594.98
1196920,1.00,0.02,594.98
1204508,1.00,0.02,594.98
1212088,1.00,0.02,594.98
1219672,1.00,0.02,594.98
1227252,1.00,0.02,594.98
1234832,1.00,0.02,594.98
1242420,1.00,0.02,594.98
1250000,1.00,0.02,594.98
1257584,1.00,0.02,594.98
1265164,1.00,0.02,594.98
1272740,1.00,0.02,594.98
1280328,1.00,0.02,594.98
1287904,1.00,0.02,594.98
1295488,1.00,0.02,594.98
1303072,1.00,0.02,594.99
1310652,1.00,0.01,594.99
1318244,1.00,0.01,594.99
1325824,1.00,0.01,594.99
1333412,1.00,0.01,594.99
1340992,1.00,0.01,594.99
1348572,1.00,0.01,594.99
1356156,1.00,0.01,594.99
1363736,1.00,0.01,594.99
1371324,1.00,0.01,595.00
1378904,1.00,0.00,595.00
1386472,1.00,0.00,595.00
1394044,1.00,0.00,595.00
1401612,1.00,0.00,595.00
1409188,1.00,0.00,595.00
1416752,1.00,0.00,595.00
1424324,1.00,0.00,595.00
1431900,1.00,0.00,595.00
1439468,1.00,0.00,595.00
1447048,1.00,-0.00,595.00
1454632,1.00,-0.00,595.00
1462216,1.00,-0.00,595.00
1469808,1.00,-0.00,595.00
1477388,1.00,-0.00,595.00
1484980,1.00,-0.00,595.00
1492560,1.00,-0.00,595.00
1500140,1.00,-0.00,595.00
1507732,1.00,-0.00,595.00
1515312,1.00,-0.00,595.00
1522904,1.00,-0.00,595.00
1530488,1.00,-0.00,595.00
1538076,1.00,-0.00,595.00
1545660,1.00,-0.00,595.00
1553240,1.00,-0.00,595.00
1560828,1.00,-0.00,595.00
1568412,1.00,-0.00,595.00
1576000,1.00,-0.00,595.00
1583580,1.00,-0.00,595.00
1591164,1.00,-0.00,595.00
1598756,1.00,-0.00,595.00
1606340,1.00,-0.00,595.00
1613928,1.00,-0.00,595.00
1621512,1.00,-0.00,595.00
1629096,1.00,-0.00,595.00
1636688,1.00,-0.00,595.00
1644272,1.00,-0.00,595.00
1651860,1.00,-0.00,595.00
1659444,1.00,-0.00,595.00
1667028,1.00,-0.00,595.00
1674616,1.00,-0.00,595.00
1682200,1.00,-0.00,595.00
1689788,1.00,-0.00,595.00
1697368,1.00,-0.00,595.00
1704952,1.00,-0.00,595.00
1712544,1.00,-0.00,595.00
1720128,1.00,-0.00,595.00
1727720,1.00,-0.00,595.00
1735284,1.00,0.00,595.00
1742832,1.00,0.00,595.00
1750408,1.00,0.00,595.00
1757976,1.00,0.00,595.00
1765556,1.00,0.00,595.00
1773124,1.00,0.00,595.00
1780696,1.00,0.00,595.00
1788272,1.00,0.00,595.00
1795840,1.00,0.00,595.00
1803416,1.00,0.00,595.00
1810988,1.00,0.00,595.00
1818556,1.00,0.00,595.00
1826132,1.00,0.00,595.00
1833704,1.00,0.00,595.00
1841280,1.00,0.00,595.00
1848852,1.00,0.00,595.00
1856420,1.00,0.00,595.00
1863996,1.00,0.00,595.00
1871564,1.00,0.00,595.00
1879144,1.00,0.00,595.00
1886712,1.00,0.00,595.00
1894284,1.00,0.00,595.00
1901864,1.00,0.00,595.00
1909432,1.00,0.00,595.00
1917012,1.00,0.00,595.00
1924584,1.00,0.00,595.00
1932152,1.00,0.00,595.00
1939732,1.00,0.00,595.00
1947300,1.00,0.00,595.00
1954876,1.00,0.00,595.00
1962448,1.00,0.00,595.00
1970020,1.00,0.00,595.00
1977596,1.00,0.00,595.00
1985168,1.00,0.00,595.00
1992744,1.00,0.00,595.00
2000312,1.00,0.00,595.00
2007884,1.00,0.00,595.00
2015460,1.00,0.00,595.00
2023032,1.00,0.00,595.00
2030608,1.00,0.00,595.00
2038180,1.00,0.00,595.00
2045752,1.00,0.00,595.00
2053328,1.00,0.00,595.00
2060896,1.00,0.00,595.00
2068464,1.00,0.00,595.00
2076040,1.00,0.00,595.00
2083612,1.00,0.00,595.00
2091188,1.00,0.00,595.00
2098756,1.00,0.00,595.00
2106328,1.00,0.00,595.00
2113904,1.00,0.00,595.00
2121476,1.00,0.00,595.00
2129052,1.00,0.00,595.00
2136620,1.00,0.00,595.00
2144192,1.00,0.00,595.00
2151768,1.00,0.00,595.00
2159336,1.00,0.00,595.00
2166916,1.00,0.00,595.00
2174484,1.00,0.00,595.00
2182056,1.00,0.00,595.00
2189632,1.00,0.00,595.00
2197204,1.00,0.00,595.00
2204780,1.00,0.00,595.00
2212352,1.00,0.00,595.00
2219920,1.00,0.00,595.00
2227496,1.00,0.00,595.00
2235068,1.00,0.00,595.00
2242644,1.00,0.00,595.00
2250216,1.00,0.00,595.00
2257788,1.00,0.00,595.00
2265364,1.00,0.00,595.00
2272932,1.00,0.00,595.00
2280512,1.00,0.00,595.00
2288080,1.00,0.00,595.00
2295652,1.00,0.00,595.00
2303228,1.00,0.00,595.00
2310800,1.00,0.00,595.00
2318376,1.00,0.00,595.00
2325948,1.00,0.00,595.00
2333516,1.00,0.00,595.00
2341096,1.00,0.00,595.00
2348668,1.00,0.00,595.00
2356244,1.00,0.00,595.00
2363812,1.00,0.00,595.00
2371384,1.00,0.00,595.00
2378960,1.00,0.00,595.00
2386532,1.00,0.00,595.00
2394104,1.00,0.00,595.00
2401680,1.00,0.00,595.00
2409252,1.00,0.00,595.00
2416828,1.00,0.00,595.00
2424396,1.00,0.00,595.00
2431968,1.00,0.00,595.00
2439548,1.00,0.00,595.00
2447120,1.00,0.00,595.00
2454696,1.00,0.00,595.00
2462268,1.00,0.00,595.00
2469840,1.00,0.00,595.00
2477416,1.00,0.00,595.00
2484988,1.00,0.00,595.00
2492564,1.00,0.00,595.00
2500132,1.00,0.00,595.00
2507704,1.00,0.00,595.00
2515280,1.00,0.00,595.00
2522852,1.00,0.00,595.00
2530428,1.00,0.00,595.00
2538000,1.00,0.00,595.00
2545572,1.00,0.00,595.00
2553148,1.00,0.00,595.00
2560720,1.00,0.00,595.00
2568296,1.00,0.00,595.00
2575864,1.00,0.00,595.00
2583436,1.00,0.00,595.00
2591012,1.00,0.00,595.00
2598584,1.00,0.00,595.00
2606160,1.00,0.00,595.00
2613728,1.00,0.00,595.00
2621300,1.00,0.00,595.00
2628876,1.00,0.00,595.00
2636448,1.00,0.00,595.00
2644024,1.00,0.00,595.00
2651592,1.00,0.00,595.00
2659164,1.00,0.00,595.00
2666740,1.00,0.00,595.00
2674308,1.00,0.00,595.00
2681888,1.00,0.00,595.00
2689456,1.00,0.00,595.00
2697024,1.00,0.00,595.00
2704600,1.00,0.00,595.00
2712172,1.00,0.00,595.00
2719740,1.00,0.00,595.00
2727320,1.00,0.00,595.00
2734888,1.00,0.00,595.00
2742464,1.00,0.00,595.00
2750036,1.00,0.00,595.00
2757608,1.00,0.00,595.00
2765184,1.00,0.00,595.00
2772752,1.00,0.00,595.00
2780328,1.00,0.00,595.00
2787900,1.00,0.00,595.00
2795472,1.00,0.00,595.00
2803048,1.00,0.00,595.00
2810620,1.00,0.00,595.00
2818196,1.00,0.00,595.00
2825768,1.00,0.00,595.00
2833336,1.00,0.00,595.00
2840912,1.00,0.00,595.00
2848484,1.00,0.00,595.00
2856060,1.00,0.00,595.00
2863632,1.00,0.00,595.00
2871204,1.00,0.00,595.00
2878780,1.00,0.00,595.00
2886348,1.00,0.00,595.00
2893924,1.00,0.00,595.00
2901496,1.00,0.00,595.00
2909068,1.00,0.00,595.00
2916644,1.00,0.00,595.00
2924212,1.00,0.00,595.00
2931792,1.00,0.00,595.00
2939360,1.00,0.00,595.00
2946932,1.00,0.00,595.00
2954508,1.00,0.00,595.00
2962080,1.00,0.00,595.00
2969656,1.00,0.00,595.00
2977224,1.00,0.00,595.00
2984796,1.00,0.00,595.00
2992372,1.00,0.00,595.00
2999944,1.00,0.00,595.00

