Tempo, Uk, xhat, Erro, Saida
568,0.32,0.00,595.00,0.00
8552,0.61,0.00,595.00,0.00
16408,0.91,0.00,595.00,0.00
24320,1.20,0.01,595.00,0.00
32244,1.49,0.01,595.00,2.00
40188,1.78,0.01,593.00,18.00
48180,2.02,0.02,577.00,39.00
56168,2.25,0.02,556.00,75.00
64168,2.43,0.03,520.00,114.00
72224,2.58,0.03,481.00,159.00
80280,2.70,0.04,436.00,208.00
88324,2.79,0.05,387.00,259.00
96380,2.85,0.06,336.00,312.00
104436,2.88,0.07,283.00,363.00
112548,2.89,0.08,232.00,414.00
120660,2.87,0.08,181.00,463.00
128764,2.83,0.09,132.00,511.00
136868,2.77,0.10,84.00,549.00
144932,2.72,0.10,46.00,585.00
152988,2.65,0.11,10.00,613.00
161052,2.59,0.11,-18.00,636.00
169132,2.53,0.11,-41.00,659.00
177212,2.45,0.12,-64.00,678.00
185292,2.37,0.12,-83.00,694.00
193372,2.29,0.12,-99.00,705.00
201452,2.21,0.12,-110.00,717.00
209588,2.13,0.12,-122.00,727.00
217724,2.04,0.12,-132.00,734.00
225844,1.96,0.12,-139.00,740.00
233972,1.88,0.12,-145.00,748.00
242100,1.78,0.12,-153.00,752.00
250228,1.70,0.12,-157.00,757.00
258356,1.61,0.13,-162.00,756.00
266492,1.53,0.12,-161.00,764.00
274620,1.43,0.13,-169.00,764.00
282756,1.35,0.12,-169.00,762.00
290876,1.27,0.12,-167.00,765.00
298996,1.18,0.12,-170.00,761.00
307124,1.11,0.12,-166.00,756.00
315260,1.04,0.12,-161.00,753.00
323388,0.97,0.12,-158.00,749.00
331516,0.90,0.12,-154.00,740.00
339636,0.85,0.12,-145.00,733.00
347764,0.79,0.12,-138.00,723.00
355892,0.75,0.11,-128.00,714.00
364020,0.71,0.11,-119.00,703.00
372148,0.68,0.11,-108.00,692.00
380276,0.66,0.11,-97.00,680.00
388356,0.64,0.11,-85.00,664.00
396436,0.64,0.10,-69.00,654.00
404500,0.63,0.10,-59.00,642.00
412564,0.64,0.10,-47.00,628.00
420636,0.65,0.10,-33.00,613.00
428708,0.67,0.10,-18.00,602.00
436780,0.69,0.09,-7.00,589.00
444796,0.72,0.09,6.00,579.00
452796,0.75,0.09,16.00,568.00
460844,0.78,0.09,27.00,554.00
468884,0.84,0.09,41.00,546.00
