Tempo, Uk, xhat, Erro, Saida
568,0.32,0.00,595.00,0.00
8552,0.61,0.00,595.00,0.00
16408,0.91,0.00,595.00,0.00
24320,1.20,0.01,595.00,0.00
32244,1.49,0.01,595.00,5.00
40196,1.77,0.01,590.00,18.00
48188,2.02,0.02,577.00,44.00
56176,2.23,0.02,551.00,81.00
64176,2.41,0.03,514.00,123.00
72232,2.55,0.04,472.00,169.00
80288,2.66,0.04,426.00,223.00
88340,2.73,0.05,372.00,275.00
96396,2.78,0.06,320.00,326.00
104444,2.81,0.07,269.00,376.00
112556,2.81,0.08,219.00,428.00
120668,2.79,0.08,167.00,479.00
128780,2.74,0.09,116.00,520.00
136884,2.70,0.10,75.00,560.00
144940,2.63,0.10,35.00,592.00
153004,2.57,0.11,3.00,617.00
161020,2.51,0.11,-22.00,643.00
169100,2.43,0.11,-48.00,663.00
177172,2.36,0.12,-68.00,683.00
185244,2.27,0.12,-88.00,696.00
193324,2.20,0.12,-101.00,708.00
201452,2.12,0.12,-113.00,722.00
209588,2.03,0.12,-127.00,729.00
217716,1.95,0.12,-134.00,734.00
225844,1.87,0.12,-139.00,745.00
233972,1.77,0.12,-150.00,747.00
242100,1.70,0.12,-152.00,753.00
250228,1.60,0.12,-158.00,757.00
258356,1.52,0.12,-162.00,759.00
266484,1.43,0.12,-164.00,761.00
274612,1.35,0.12,-166.00,759.00
282740,1.27,0.12,-164.00,762.00
290860,1.18,0.12,-167.00,760.00
298988,1.11,0.12,-165.00,755.00
307124,1.04,0.12,-160.00,751.00
315252,0.97,0.12,-156.00,745.00
323380,0.91,0.12,-150.00,741.00
331508,0.84,0.12,-146.00,732.00
339636,0.80,0.12,-137.00,726.00
347756,0.74,0.11,-131.00,715.00
355884,0.71,0.11,-120.00,706.00
364012,0.67,0.11,-111.00,693.00
372140,0.65,0.11,-98.00,681.00
380212,0.63,0.11,-86.00,667.00
388292,0.63,0.10,-72.00,656.00
396356,0.62,0.10,-61.00,643.00
404420,0.63,0.10,-48.00,632.00
412492,0.63,0.10,-37.00,614.00
420564,0.66,0.10,-19.00,605.00
428628,0.67,0.10,-10.00,591.00
436700,0.70,0.09,4.00,579.00
444692,0.73,0.09,16.00,570.00
452748,0.76,0.09,25.00,558.00
460796,0.81,0.09,37.00,546.00
468852,0.86,0.09,49.00,537.00
