Tempo,Saida
128,0
8108,0
15964,0
23876,3
31788,15
39744,37
47704,59
55672,86
63632,109
71636,125
79652,140
87668,152
95684,167
103700,182
111764,199
119828,212
127884,227
135956,238
144020,250
152076,258
160148,264
168212,275
176276,283
184340,289
192396,299
200460,305
208524,308
216592,318
224660,320
232724,324
240788,329
248852,333
256908,337
264972,337
273036,344
281100,345
289172,348
297236,347
305300,354
313372,354
321436,357
329500,355
337564,361
345628,361
353700,363
361764,362
369828,363
377892,367
385956,366
394020,367
402084,366
410148,370
418220,369
426284,370
434348,370
442420,369
450476,374
458548,370
466620,372
474684,369
482756,373
490820,372
498892,373
506956,373
515020,371
523084,375
531148,374
539212,375
547284,373
555348,373
563420,376
571484,375
579548,375
587612,373
595684,376
603748,377
611820,375
619892,376
627964,373
636036,377
644108,375
652164,376
660236,375
668300,374
676364,377
684436,375
692508,376
700572,374
708644,374
716700,377
724772,374
732844,376
740908,373
748980,376
757044,375
765116,374
773188,374
781252,372
789324,376
797396,373
805460,374
813532,371
821604,372
829668,374
837732,373
845796,373
853860,371
861924,374
869988,374
878060,373
886132,373
894204,371
902276,375
910348,372
918412,373
926484,371
934556,373
942620,374
950692,372
958764,372
966836,370
974908,374
982972,372
991044,372
999116,371
1007180,370
1015292,373
1023412,371
1031532,372
1039652,369
1047772,372
1055892,372
1064012,371
1072124,371
1080244,369
1088364,374
1096484,371
1104604,372
1112724,370
1120836,370
1128956,373
1137076,371
1145196,371
1153316,369
1161436,372
1169556,371
1177676,370
1185788,371
1193908,368
1202028,373
1210148,370
1218268,372
1226388,369
1234500,370
1242620,372
1250740,371
1258860,370
1266980,369
1275100,371
1283220,371
1291340,370
1299452,370
1307572,368
1315692,374
1323812,370
1331932,371
1340052,369
1348164,371
1356284,371
1364404,370
1372524,371
1380644,368
1388764,372
1396884,370
1405004,371
1413116,369
1421236,369
1429356,372
1437476,370
1445596,370
1453716,369
1461828,371
1469948,371
1478068,369
1486188,370
1494308,367
1502428,372
1510548,368
1518668,370
1526780,368
1534900,370
1543020,370
1551140,370
1559260,370
1567380,367
1575492,371
1583612,370
1591732,369
1599852,368
1607972,368
1616092,371
1624212,368
1632332,370
1640444,367
1648564,371
1656684,370
1664804,369
1672924,368
1681044,367
1689156,371
1697276,368
1705396,370
1713516,366
1721636,369
1729756,368
1737876,369
1745996,367
1754108,366
1762228,370
1770348,368
1778468,369
1786588,366
1794708,368
1802820,369
1810940,368
1819060,367
1827180,366
1835300,370
1843420,367
1851540,368
1859660,366
1867772,368
1875892,368
1884012,367
1892132,367
1900252,366
1908372,369
1916484,367
1924604,367
1932724,365
1940844,367
1948964,367
1957084,367
1965204,367
1973324,365
1981436,370
1989556,367
1997676,368
2005796,365
2013916,367
2022036,368
2030148,367
2038268,366
2046388,365
2054508,370
2062628,366
2070748,368
2078868,364
2086988,368
2095100,367
2103220,367
2111340,366
2119460,365
2127580,369
2135700,366
2143812,367
2151932,365
2160052,367
2168172,366
2176292,367
2184412,365
2192532,364
2200652,368
2208764,366
2216884,367
2225004,364
2233124,368
2241244,366
2249364,367
2257476,364
2265596,366
2273716,367
2281836,366
2289956,366
2298076,364
2306196,368
2314316,366
2322428,367
2330548,365
2338668,367
2346788,367
2354908,366
2363028,365
2371140,364
2379260,368
2387380,365
2395500,366
2403620,364
2411740,366
2419860,367
2427980,366
2436092,366
2444212,364
2452332,368
2460452,365
2468572,366
2476692,363
2484804,367
2492924,365
2501044,366
2509164,363
2517284,365
2525404,367
2533524,365
2541644,365
2549756,364
2557876,367
2565996,365
2574116,366
2582236,364
2590356,366
2598468,366
2606588,365
2614708,364
2622828,363
2630948,368
2639068,365
2647188,366
2655308,363
2663420,366
2671540,365
2679660,365
2687780,364
2695900,363
2704020,367
2712132,365
2720252,366
2728372,362
2736492,368
2744612,365
2752732,366
2760852,363
2768972,366
2777084,366
2785204,366
2793324,364
2801444,364
2809564,367
2817684,365
2825796,365
2833916,363
2842036,366
2850156,366
2858276,366
2866396,365
2874516,364
2882636,368
2890748,365
2898868,366
2906988,363
2915108,367
2923228,364
2931348,366
2939460,363
2947580,366
2955700,365
2963820,365
2971940,364
2980060,363
2988180,367
2996300,364

