Tempo, Uk, xhat, Erro, Saida
568,1.05,0.00,595.00,0.00
8536,1.80,0.01,595.00,0.00
16392,2.91,0.01,595.00,0.00
24300,3.59,0.02,595.00,13.00
32284,4.62,0.02,582.00,36.00
40264,5.07,0.03,559.00,69.00
48248,6.01,0.03,526.00,109.00
56280,6.18,0.05,486.00,153.00
64320,7.08,0.05,442.00,207.00
72356,6.84,0.07,388.00,262.00
80404,7.76,0.06,333.00,316.00
88452,7.12,0.10,279.00,373.00
96500,8.13,0.08,222.00,428.00
104540,7.01,0.12,167.00,477.00
112636,8.31,0.09,118.00,527.00
120732,6.55,0.14,68.00,564.00
128780,8.42,0.09,31.00,601.00
136828,5.84,0.16,-6.00,627.00
144836,8.58,0.08,-32.00,655.00
152892,4.87,0.19,-60.00,675.00
160956,8.84,0.07,-80.00,693.00
169004,3.63,0.21,-98.00,707.00
177068,9.34,0.04,-112.00,720.00
185172,2.00,0.25,-125.00,734.00
193284,10.15,0.01,-139.00,740.00
201452,-0.09,0.29,-145.00,748.00
209564,11.52,-0.04,-153.00,755.00
217740,-2.91,0.36,-160.00,757.00
225868,13.71,-0.12,-162.00,755.00
234052,-6.60,0.44,-160.00,757.00
242172,17.02,-0.23,-162.00,748.00
250348,-11.54,0.57,-153.00,743.00
258532,22.01,-0.39,-148.00,735.00
266708,-18.34,0.75,-140.00,726.00
274892,29.35,-0.61,-131.00,722.00
283076,-27.84,1.00,-127.00,713.00
291252,39.94,-0.92,-118.00,709.00
299436,-41.11,1.37,-114.00,702.00
307628,55.11,-1.36,-107.00,698.00
315820,-59.79,1.88,-103.00,692.00
324012,76.76,-1.98,-97.00,689.00
332148,-86.13,2.62,-94.00,686.00
340284,107.55,-2.86,-91.00,682.00
348476,-123.34,3.66,-87.00,681.00
356668,151.33,-4.11,-86.00,675.00
364868,-175.95,5.14,-80.00,674.00
373060,213.51,-5.88,-79.00,668.00
381252,-250.45,7.24,-73.00,667.00
389444,301.80,-8.38,-72.00,665.00
397636,-356.04,10.22,-70.00,665.00
405876,427.07,-11.93,-70.00,664.00
414116,-505.67,14.45,-69.00,660.00
422364,604.84,-16.97,-65.00,661.00
430612,-717.77,20.44,-66.00,655.00
438860,857.04,-24.11,-60.00,656.00
447108,-1018.45,28.94,-61.00,652.00
455404,1214.71,-34.23,-57.00,655.00
463708,-1444.74,40.99,-60.00,655.00
472004,1721.90,-48.59,-60.00,655.00
480300,-2049.11,58.09,-60.00,655.00
488596,2441.18,-68.94,-60.00,652.00
496900,-2905.98,82.32,-57.00,652.00
505196,3461.17,-97.80,-57.00,650.00
513492,-4120.94,116.68,-55.00,651.00
521844,4907.57,-138.72,-56.00,652.00
530204,-5843.70,165.41,-57.00,651.00
538556,6958.63,-196.75,-56.00,653.00
546908,-8286.47,234.51,-58.00,652.00
555260,9867.07,-279.03,-57.00,653.00
563612,-11750.20,332.49,-58.00,647.00
572012,13991.32,-395.71,-52.00,649.00
580428,-16661.64,471.42,-54.00,647.00
588836,19839.46,-561.15,-52.00,649.00
597252,-23625.91,668.42,-54.00,650.00
605668,28132.05,-795.74,-55.00,650.00
614076,-33501.03,947.77,-55.00,651.00
622492,39890.87,-1128.39,-56.00,649.00
630964,-47503.67,1343.88,-54.00,651.00
639428,56564.72,-1600.07,-56.00,648.00
647892,-67359.10,1905.56,-53.00,649.00
656356,80208.03,-2268.91,-54.00,646.00
664828,-95513.67,2702.01,-51.00,648.00
673292,113733.90,-3217.32,-53.00,645.00
681804,-135436.29,3831.36,-50.00,648.00
690332,161273.03,-4562.14,-53.00,646.00
698852,-192045.79,5432.76,-51.00,649.00
707372,228682.75,-6469.07,-54.00,649.00
715884,-272317.06,7703.52,-54.00,649.00
724396,324268.59,-9173.07,-54.00,650.00
732916,-386140.21,10923.41,-55.00,650.00
741492,459807.78,-13007.29,-55.00,651.00
750068,-547539.31,15489.17,-56.00,650.00
758644,651999.93,-18444.15,-55.00,652.00
767228,-776400.37,21963.33,-57.00,650.00
775812,924525.18,-26153.52,-55.00,650.00
784392,-1100921.12,31143.57,-55.00,649.00
793028,1310961.12,-37085.27,-54.00,649.00
801660,-1561086.00,44160.99,-54.00,649.00
810260,1858920.62,-52586.29,-54.00,649.00
818892,-2213591.25,62619.46,-54.00,648.00
827532,2635917.50,-74566.47,-53.00,649.00
836148,-3138832.00,88793.25,-54.00,647.00
844740,3737685.25,-105733.97,-52.00,648.00
853428,-4450807.00,125907.21,-53.00,647.00
862084,5299973.00,-149928.93,-52.00,649.00
870740,-6311164.50,178534.15,-54.00,647.00
879412,7515269.00,-212596.62,-52.00,648.00
888068,-8949119.00,253158.25,-53.00,648.00
896716,10656520.00,-301458.28,-53.00,648.00
905420,-12689691.00,358973.87,-53.00,646.00
914124,15110756.00,-427462.53,-51.00,647.00
922828,-17993754.00,509018.56,-52.00,646.00
931532,21426786.00,-606134.31,-51.00,647.00
940244,-25514824.00,721779.25,-52.00,645.00
948948,30382806.00,-859487.81,-50.00,647.00
957652,-36179568.00,1023470.18,-52.00,646.00
966412,43082284.00,-1218738.50,-51.00,647.00
975164,-51301988.00,1451262.62,-52.00,645.00
983924,61089920.00,-1728149.75,-50.00,648.00
992684,-72745312.00,2057864.75,-53.00,646.00
1001436,86624424.00,-2450485.75,-51.00,649.00
1010252,-103151560.00,2918015.75,-54.00,646.00
1019116,122831904.00,-3474745.50,-51.00,648.00
1027972,-146267088.00,4137694.50,-53.00,647.00
1036828,174173472.00,-4927128.00,-52.00,649.00
1045660,-207404144.00,5867178.00,-54.00,647.00
1054484,246974896.00,-6986580.00,-52.00,649.00
1063324,-294095392.00,8319554.00,-54.00,649.00
