Tempo, Uk, xhat, Erro, Saida
568,0.32,0.00,595.00,0.00
8552,0.61,0.00,595.00,0.00
16408,0.91,0.00,595.00,0.00
24320,1.20,0.01,595.00,0.00
32244,1.49,0.01,595.00,3.00
40188,1.78,0.01,592.00,21.00
48180,2.01,0.02,574.00,42.00
56168,2.24,0.02,553.00,80.00
64168,2.41,0.03,515.00,118.00
72224,2.57,0.04,477.00,171.00
80288,2.66,0.04,424.00,221.00
88340,2.74,0.05,374.00,273.00
96396,2.79,0.06,322.00,329.00
104444,2.80,0.07,266.00,378.00
112548,2.81,0.08,217.00,432.00
120660,2.78,0.09,163.00,481.00
128772,2.74,0.09,114.00,523.00
136884,2.69,0.10,72.00,563.00
144948,2.62,0.10,32.00,593.00
153012,2.56,0.11,2.00,622.00
161028,2.49,0.11,-27.00,644.00
169108,2.42,0.11,-49.00,660.00
177180,2.36,0.12,-65.00,680.00
185252,2.27,0.12,-85.00,694.00
193332,2.20,0.12,-99.00,707.00
201404,2.12,0.12,-112.00,717.00
209540,2.04,0.12,-122.00,724.00
217668,1.96,0.12,-129.00,735.00
225796,1.87,0.12,-140.00,738.00
233924,1.80,0.12,-143.00,743.00
242052,1.71,0.12,-148.00,750.00
250188,1.62,0.12,-155.00,752.00
258316,1.54,0.12,-157.00,753.00
266444,1.46,0.12,-158.00,758.00
274572,1.37,0.12,-163.00,758.00
282700,1.29,0.12,-163.00,757.00
290824,1.21,0.12,-162.00,756.00
298956,1.13,0.12,-161.00,752.00
307084,1.07,0.12,-157.00,746.00
315212,1.00,0.12,-151.00,742.00
323332,0.94,0.12,-147.00,735.00
331452,0.89,0.12,-140.00,729.00
339580,0.83,0.12,-134.00,719.00
347708,0.79,0.11,-124.00,711.00
355836,0.75,0.11,-116.00,698.00
363964,0.73,0.11,-103.00,688.00
372092,0.70,0.11,-93.00,675.00
380164,0.69,0.11,-80.00,664.00
388236,0.68,0.10,-69.00,655.00
396300,0.67,0.10,-60.00,637.00
404364,0.69,0.10,-42.00,628.00
412436,0.69,0.10,-33.00,615.00
420508,0.71,0.10,-20.00,606.00
428580,0.72,0.10,-11.00,592.00
436652,0.75,0.09,3.00,578.00
444652,0.79,0.09,17.00,568.00
452700,0.82,0.09,27.00,560.00
460748,0.85,0.09,35.00,551.00
468804,0.90,0.09,44.00,545.00
