Tempo, Uk, xhat, Erro, Saida
568,0.32,0.00,595.00,0.00
8552,0.61,0.00,595.00,0.00
16408,0.91,0.00,595.00,0.00
24320,1.20,0.01,595.00,0.00
32244,1.49,0.01,595.00,3.00
40188,1.78,0.01,592.00,15.00
48180,2.03,0.01,580.00,42.00
56168,2.24,0.02,553.00,77.00
64168,2.42,0.03,518.00,117.00
72224,2.57,0.04,478.00,164.00
80280,2.68,0.04,431.00,216.00
88332,2.76,0.05,379.00,270.00
96388,2.81,0.06,325.00,321.00
104436,2.84,0.07,274.00,369.00
112548,2.85,0.08,226.00,423.00
120652,2.82,0.08,172.00,473.00
128764,2.78,0.09,122.00,516.00
136868,2.73,0.10,79.00,557.00
144932,2.67,0.10,38.00,590.00
152996,2.61,0.11,5.00,617.00
161012,2.54,0.11,-22.00,641.00
169092,2.47,0.11,-46.00,658.00
177164,2.41,0.12,-63.00,680.00
185236,2.31,0.12,-85.00,693.00
193316,2.25,0.12,-98.00,705.00
201396,2.17,0.12,-110.00,717.00
209532,2.08,0.12,-122.00,726.00
217652,2.00,0.12,-131.00,735.00
225772,1.91,0.12,-140.00,740.00
233900,1.83,0.12,-145.00,747.00
242028,1.74,0.12,-152.00,748.00
250156,1.67,0.12,-153.00,755.00
258284,1.57,0.12,-160.00,758.00
266412,1.48,0.12,-163.00,757.00
274532,1.41,0.12,-162.00,764.00
282660,1.30,0.12,-169.00,763.00
290780,1.23,0.12,-168.00,759.00
298908,1.16,0.12,-164.00,760.00
307036,1.07,0.12,-165.00,755.00
315164,1.01,0.12,-160.00,747.00
323292,0.95,0.12,-152.00,742.00
331420,0.89,0.12,-147.00,733.00
339548,0.84,0.12,-138.00,727.00
347676,0.78,0.11,-132.00,717.00
355804,0.75,0.11,-122.00,709.00
363932,0.71,0.11,-114.00,696.00
372068,0.69,0.11,-101.00,687.00
380196,0.66,0.11,-92.00,678.00
388276,0.63,0.11,-83.00,663.00
396348,0.64,0.10,-68.00,651.00
404412,0.63,0.10,-56.00,640.00
412484,0.63,0.10,-45.00,624.00
420556,0.65,0.10,-29.00,613.00
428628,0.66,0.10,-18.00,600.00
436700,0.69,0.09,-5.00,589.00
444708,0.71,0.09,6.00,579.00
452700,0.74,0.09,16.00,563.00
460748,0.80,0.09,32.00,554.00
468796,0.83,0.09,41.00,546.00
