Tempo, Uk, xhat, Erro, Saida
568,0.32,0.00,595.00,0.00
8552,0.61,0.00,595.00,0.00
16408,0.91,0.00,595.00,0.00
24320,1.20,0.01,595.00,0.00
32244,1.50,0.01,595.00,2.00
40188,1.79,0.01,593.00,15.00
48180,2.04,0.01,580.00,39.00
56168,2.26,0.02,556.00,74.00
64168,2.44,0.03,521.00,111.00
72224,2.60,0.03,484.00,160.00
80272,2.71,0.04,435.00,207.00
88332,2.80,0.05,388.00,259.00
96380,2.86,0.06,336.00,311.00
104428,2.89,0.07,284.00,364.00
112532,2.89,0.07,231.00,412.00
120636,2.89,0.08,183.00,462.00
128740,2.85,0.09,133.00,504.00
136844,2.81,0.10,91.00,547.00
144908,2.74,0.10,48.00,577.00
152964,2.70,0.11,18.00,608.00
161028,2.62,0.11,-13.00,631.00
169108,2.56,0.11,-36.00,656.00
177180,2.48,0.12,-61.00,672.00
185260,2.41,0.12,-77.00,684.00
193340,2.34,0.12,-89.00,700.00
201420,2.25,0.12,-105.00,711.00
209548,2.18,0.12,-116.00,722.00
217676,2.09,0.12,-127.00,729.00
225796,2.01,0.12,-134.00,735.00
233924,1.93,0.12,-140.00,743.00
242052,1.84,0.12,-148.00,745.00
250180,1.76,0.12,-150.00,751.00
258308,1.67,0.12,-156.00,754.00
266436,1.59,0.12,-159.00,756.00
274564,1.50,0.12,-161.00,759.00
282684,1.41,0.12,-164.00,758.00
290812,1.34,0.12,-163.00,761.00
298940,1.25,0.12,-166.00,760.00
307068,1.17,0.12,-165.00,755.00
315196,1.10,0.12,-160.00,751.00
323324,1.03,0.12,-156.00,747.00
331444,0.97,0.12,-152.00,742.00
339572,0.90,0.12,-147.00,734.00
347692,0.85,0.12,-139.00,727.00
355820,0.80,0.11,-132.00,717.00
363940,0.77,0.11,-122.00,709.00
372068,0.72,0.11,-114.00,697.00
380196,0.70,0.11,-102.00,687.00
388316,0.67,0.11,-92.00,672.00
396388,0.67,0.11,-77.00,663.00
404460,0.65,0.10,-68.00,654.00
412532,0.64,0.10,-59.00,636.00
420604,0.67,0.10,-41.00,627.00
428676,0.66,0.10,-32.00,613.00
436748,0.69,0.10,-18.00,603.00
444812,0.70,0.09,-8.00,588.00
452820,0.74,0.09,7.00,576.00
460812,0.77,0.09,19.00,567.00
468860,0.80,0.09,28.00,559.00
