Tempo, Uk, xhat, Erro, Saida
568,0.32,0.00,595.00,0.00
8552,0.61,0.00,595.00,0.00
16408,0.91,0.00,595.00,0.00
24320,1.20,0.01,595.00,0.00
32244,1.50,0.01,595.00,2.00
40188,1.79,0.01,593.00,17.00
48180,2.03,0.01,578.00,41.00
56168,2.25,0.02,554.00,71.00
64168,2.45,0.03,524.00,115.00
72224,2.59,0.03,480.00,159.00
80280,2.71,0.04,436.00,204.00
88336,2.81,0.05,391.00,253.00
96388,2.87,0.06,342.00,303.00
104436,2.92,0.07,292.00,354.00
112556,2.93,0.07,241.00,405.00
120668,2.91,0.08,190.00,453.00
128780,2.89,0.09,142.00,498.00
136884,2.84,0.09,97.00,539.00
144940,2.79,0.10,56.00,573.00
152996,2.73,0.10,22.00,604.00
161060,2.66,0.11,-9.00,630.00
169092,2.59,0.11,-35.00,649.00
177164,2.53,0.11,-54.00,672.00
185236,2.44,0.12,-77.00,687.00
193316,2.37,0.12,-92.00,698.00
201396,2.29,0.12,-103.00,712.00
209524,2.20,0.12,-117.00,722.00
217652,2.12,0.12,-127.00,729.00
225780,2.04,0.12,-134.00,737.00
233900,1.96,0.12,-142.00,744.00
242028,1.87,0.12,-149.00,745.00
250156,1.80,0.12,-150.00,755.00
258284,1.69,0.13,-160.00,756.00
266412,1.61,0.12,-161.00,757.00
274532,1.53,0.12,-162.00,763.00
282652,1.43,0.12,-168.00,763.00
290772,1.35,0.12,-168.00,762.00
298900,1.27,0.12,-167.00,763.00
307028,1.18,0.12,-168.00,760.00
315156,1.11,0.12,-165.00,754.00
323292,1.05,0.12,-159.00,754.00
331420,0.96,0.12,-159.00,746.00
339548,0.91,0.12,-151.00,738.00
347676,0.86,0.12,-143.00,730.00
355804,0.81,0.12,-135.00,720.00
363932,0.77,0.11,-125.00,712.00
372060,0.72,0.11,-117.00,700.00
380188,0.70,0.11,-105.00,692.00
388308,0.66,0.11,-97.00,683.00
396380,0.64,0.11,-88.00,668.00
404452,0.64,0.10,-73.00,656.00
412524,0.63,0.10,-61.00,645.00
420588,0.63,0.10,-50.00,629.00
428652,0.65,0.10,-34.00,619.00
436724,0.65,0.10,-24.00,605.00
444788,0.68,0.09,-10.00,596.00
452852,0.70,0.09,-1.00,579.00
460852,0.75,0.09,16.00,569.00
468900,0.77,0.09,26.00,560.00
