Tempo,Saida
128,0
8108,0
15964,0
23876,6
31788,23
39744,51
47704,84
55672,119
63684,152
71700,180
79708,203
87724,225
95732,247
103748,265
111812,288
119876,305
127932,326
136004,341
144068,355
152132,370
160204,383
168268,392
176332,402
184396,413
192452,423
200516,431
208580,439
216644,445
224716,451
232780,457
240844,463
248908,467
256964,472
265028,476
273092,480
281156,484
289228,487
297292,490
305356,494
313428,496
321492,498
329556,500
337620,502
345684,502
353756,503
361820,504
369884,506
377948,509
386012,510
394076,512
402148,512
410224,513
418292,513
426356,513
434420,513
442484,515
450540,515
458612,517
466684,518
474752,518
482812,517
490884,517
498956,516
507028,518
515100,519
523156,521
531228,520
539292,520
547356,518
555428,519
563500,518
571572,520
579644,521
587700,522
595772,522
603844,521
611908,520
619980,519
628052,521
636124,522
644196,523
652252,523
660324,522
668388,520
676452,519
684524,519
692596,522
700668,522
708740,523
716812,522
724868,521
732932,519
741004,520
749068,520
757140,522
765212,523
773284,523
781348,521
789412,520
797484,519
805560,519
813620,520
821692,521
829756,522
837820,522
845884,520
853940,519
862012,519
870088,520
878148,521
886220,522
894292,522
902364,521
910436,520
918500,519
926572,520
934644,520
942708,522
950772,522
958844,521
966916,520
974988,519
983060,518
991116,520
999188,521
1007260,522
1015372,521
1023484,520
1031604,519
1039724,519
1047844,519
1055964,521
1064084,521
1072204,521
1080316,520
1088436,519
1096556,518
1104676,520
1112796,520
1120916,521
1129028,521
1137148,519
1145268,518
1153388,518
1161508,518
1169628,519
1177748,520
1185868,520
1193980,520
1202100,518
1210220,518
1218340,519
1226460,520
1234580,520
1242692,521
1250812,519
1258932,519
1267052,518
1275172,519
1283292,519
1291412,521
1299532,520
1307644,520
1315764,518
1323884,518
1332004,519
1340124,520
1348244,520
1356356,521
1364476,519
1372596,519
1380716,518
1388836,519
1396956,519
1405076,520
1413196,520
1421308,520
1429428,518
1437548,518
1445668,519
1453788,520
1461908,520
1470020,521
1478140,520
1486260,519
1494380,518
1502500,518
1510620,519
1518740,519
1526860,521
1534972,520
1543092,519
1551212,516
1559332,519
1567452,519
1575572,520
1583684,520
1591804,520
1599924,518
1608044,518
1616164,517
1624284,519
1632404,519
1640524,520
1648636,520
1656756,519
1664876,516
1672996,518
1681116,518
1689236,520
1697348,520
1705468,520
1713588,518
1721708,517
1729828,517
1737948,518
1746068,519
1754188,520
1762300,520
1770420,519
1778540,517
1786660,518
1794780,518
1802900,519
1811012,521
1819132,520
1827252,519
1835372,517
1843492,517
1851612,517
1859732,519
1867852,519
1875964,520
1884084,518
1892204,518
1900324,516
1908444,518
1916564,518
1924684,520
1932796,520
1940916,519
1949036,517
1957156,517
1965276,516
1973396,518
1981516,518
1989628,519
1997748,518
2005868,519
2013988,517
2022108,517
2030228,517
2038340,519
2046460,518
2054580,519
2062700,518
2070820,518
2078940,517
2087060,517
2095180,517
2103292,518
2111412,518
2119532,518
2127652,519
2135772,517
2143892,516
2152004,517
2160124,518
2168244,517
2176364,520
2184484,519
2192604,518
2200724,516
2208844,517
2216956,517
2225076,518
2233196,519
2241316,519
2249436,517
2257556,516
2265668,515
2273788,517
2281908,516
2290028,519
2298148,518
2306268,518
2314388,515
2322508,515
2330620,515
2338740,517
2346860,517
2354980,518
2363100,517
2371220,517
2379332,517
2387452,516
2395572,516
2403692,517
2411812,517
2419932,517
2428052,518
2436172,517
2444284,516
2452404,516
2460524,516
2468644,516
2476764,517
2484884,517
2492996,518
2501116,516
2509236,516
2517356,516
2525476,517
2533596,517
2541716,519
2549836,519
2557948,518
2566068,515
2574188,515
2582308,516
2590428,517
2598548,517
2606660,518
2614780,517
2622900,517
2631020,516
2639140,516
2647260,516
2655380,518
2663500,518
2671612,518
2679732,517
2687852,517
2695972,516
2704092,517
2712212,516
2720324,517
2728444,517
2736564,518
2744684,518
2752804,517
2760924,515
2769044,516
2777164,517
2785276,517
2793396,519
2801516,518
2809636,518
2817756,515
2825876,516
2833988,516
2842108,518
2850228,518
2858348,519
2866468,518
2874588,517
2882708,516
2890828,517
2898940,517
2907060,519
2915180,519
2923300,519
2931420,518
2939540,517
2947652,517
2955772,518
2963892,517
2972012,518
2980132,518
2988252,519
2996372,519

