Tempo, Uk, xhat, Erro, Saida
568,1.05,0.00,595.00,0.00
8536,1.81,0.01,595.00,0.00
16392,2.89,0.01,595.00,0.00
24300,3.62,0.02,595.00,10.00
32292,4.62,0.02,585.00,37.00
40272,5.08,0.03,558.00,73.00
48256,5.93,0.03,522.00,114.00
56288,6.18,0.05,481.00,162.00
64328,6.88,0.05,433.00,216.00
72364,6.85,0.07,379.00,270.00
80404,7.45,0.07,325.00,325.00
88452,7.17,0.09,270.00,378.00
96500,7.70,0.09,217.00,433.00
104532,7.15,0.11,162.00,486.00
112628,7.64,0.10,109.00,529.00
120724,6.92,0.13,66.00,571.00
128772,7.41,0.12,24.00,602.00
136820,6.57,0.14,-7.00,629.00
144828,7.15,0.12,-34.00,653.00
152892,6.11,0.15,-58.00,674.00
160956,6.81,0.12,-79.00,694.00
169012,5.54,0.15,-99.00,707.00
177068,6.46,0.12,-112.00,719.00
185180,4.94,0.16,-124.00,733.00
193292,6.05,0.12,-138.00,739.00
201404,4.31,0.16,-144.00,743.00
209524,5.71,0.12,-148.00,755.00
217644,3.54,0.17,-160.00,757.00
225756,5.40,0.11,-162.00,760.00
233868,2.79,0.17,-165.00,766.00
241980,5.06,0.10,-171.00,767.00
250084,1.99,0.18,-172.00,769.00
258196,4.80,0.09,-174.00,773.00
266292,1.09,0.19,-178.00,774.00
274396,4.60,0.08,-179.00,775.00
282508,0.14,0.20,-180.00,776.00
290620,4.46,0.07,-181.00,774.00
298732,-0.87,0.21,-179.00,770.00
306860,4.48,0.05,-175.00,766.00
314972,-1.94,0.22,-171.00,758.00
323100,4.69,0.02,-163.00,746.00
331204,-3.00,0.23,-151.00,741.00
339324,5.06,-0.00,-146.00,730.00
347436,-4.17,0.25,-135.00,727.00
355564,5.61,-0.03,-132.00,715.00
363692,-5.46,0.28,-120.00,711.00
371812,6.41,-0.06,-116.00,702.00
379932,-6.95,0.31,-107.00,699.00
388052,7.48,-0.10,-104.00,694.00
396180,-8.72,0.35,-99.00,688.00
404260,8.91,-0.15,-93.00,686.00
412340,-10.81,0.40,-91.00,679.00
420460,10.73,-0.21,-84.00,677.00
428588,-13.28,0.46,-82.00,670.00
436716,13.03,-0.29,-75.00,669.00
444844,-16.23,0.54,-74.00,664.00
452972,15.87,-0.38,-69.00,665.00
461100,-19.78,0.63,-70.00,664.00
469228,19.34,-0.48,-69.00,659.00
477356,-23.97,0.74,-64.00,658.00
485476,23.61,-0.61,-63.00,654.00
493604,-29.04,0.88,-59.00,655.00
501724,28.84,-0.76,-60.00,656.00
509860,-35.21,1.05,-61.00,652.00
517996,35.30,-0.95,-57.00,652.00
526124,-42.67,1.25,-57.00,648.00
534260,43.21,-1.18,-53.00,650.00
542404,-51.73,1.50,-55.00,650.00
550532,52.83,-1.46,-55.00,648.00
558668,-62.67,1.81,-53.00,647.00
566804,64.58,-1.79,-52.00,645.00
574940,-75.94,2.18,-50.00,646.00
583076,78.91,-2.20,-51.00,648.00
591212,-92.11,2.63,-53.00,644.00
599356,96.43,-2.71,-49.00,645.00
