Tempo, Uk, xhat, Erro, Saida
568,0.12,0.00,595.00,0.00
8536,0.23,0.00,595.00,0.00
16376,0.34,0.00,595.00,0.00
24272,0.45,0.00,595.00,0.00
32176,0.56,0.00,595.00,0.00
40080,0.67,0.01,595.00,0.00
47984,0.78,0.01,595.00,0.00
55892,0.90,0.01,595.00,4.00
63820,1.00,0.01,591.00,16.00
71796,1.10,0.01,579.00,40.00
79768,1.19,0.02,555.00,69.00
87752,1.27,0.02,526.00,110.00
95784,1.34,0.03,485.00,151.00
103824,1.39,0.03,444.00,193.00
111912,1.44,0.04,402.00,240.00
120004,1.47,0.05,355.00,285.00
128092,1.50,0.06,310.00,328.00
136172,1.52,0.06,267.00,367.00
144268,1.53,0.07,228.00,407.00
152364,1.54,0.07,188.00,448.00
160460,1.54,0.08,147.00,483.00
168556,1.53,0.09,112.00,510.00
176652,1.53,0.09,85.00,541.00
184692,1.52,0.10,54.00,567.00
192740,1.50,0.10,28.00,587.00
200772,1.49,0.10,8.00,608.00
208756,1.47,0.11,-13.00,622.00
216820,1.46,0.11,-27.00,638.00
224884,1.44,0.11,-43.00,649.00
232948,1.42,0.11,-54.00,661.00
241012,1.40,0.11,-66.00,668.00
249068,1.38,0.11,-73.00,677.00
257124,1.36,0.12,-82.00,682.00
265180,1.34,0.12,-87.00,688.00
273244,1.31,0.12,-93.00,691.00
281308,1.29,0.12,-96.00,695.00
289372,1.27,0.12,-100.00,697.00
297484,1.25,0.12,-102.00,700.00
305596,1.23,0.12,-105.00,699.00
313716,1.21,0.12,-104.00,700.00
321836,1.19,0.12,-105.00,698.00
329948,1.17,0.12,-103.00,699.00
338060,1.15,0.12,-104.00,696.00
346172,1.13,0.12,-101.00,695.00
354284,1.12,0.12,-100.00,690.00
362404,1.10,0.12,-95.00,689.00
370460,1.09,0.11,-94.00,684.00
378516,1.07,0.11,-89.00,682.00
386572,1.06,0.11,-87.00,678.00
394628,1.05,0.11,-83.00,676.00
402692,1.03,0.11,-81.00,675.00
410748,1.02,0.11,-80.00,668.00
418796,1.01,0.11,-73.00,666.00
426852,1.00,0.11,-71.00,658.00
434908,0.99,0.11,-63.00,659.00
442964,0.98,0.11,-64.00,656.00
451020,0.97,0.11,-61.00,648.00
459076,0.96,0.11,-53.00,646.00
467132,0.96,0.11,-51.00,644.00
475188,0.95,0.11,-49.00,637.00
483244,0.94,0.11,-42.00,634.00
491300,0.94,0.11,-39.00,633.00
499364,0.93,0.10,-38.00,624.00
507412,0.93,0.10,-29.00,623.00
515460,0.93,0.10,-28.00,621.00
523508,0.93,0.10,-26.00,613.00
531556,0.93,0.10,-18.00,613.00
539604,0.93,0.10,-18.00,608.00
