Tempo, Uk, xhat, Erro, Saida
568,15.71,0.00,621.00,0.00
8608,10.36,0.13,621.00,0.00
16548,72.61,-0.15,621.00,4.00
24572,-82.60,0.87,617.00,20.00
32636,458.41,-2.27,601.00,52.00
40768,-1238.40,7.94,569.00,89.00
48952,4244.75,-24.70,532.00,131.00
57248,-13321.39,80.21,490.00,176.00
65600,43091.86,-256.40,445.00,227.00
74004,-137955.34,824.15,394.00,278.00
82468,443186.00,-2644.06,343.00,326.00
90956,-1422122.37,8488.17,295.00,366.00
99540,4565096.00,-27243.58,255.00,406.00
108124,-14652456.00,87447.03,215.00,438.00
116820,47031384.00,-280682.81,183.00,467.00
125572,-150959232.00,900927.50,154.00,492.00
134372,484544160.00,-2891764.00,129.00,516.00
143196,-1555272448.00,9281885.00,105.00,534.00
152076,ovf,-29792670.00,87.00,552.00
160220,ovf,95627472.00,69.00,567.00
168356,ovf,-306941728.00,54.00,579.00
176556,ovf,985210880.00,42.00,591.00
184740,ovf,-3162295808.00,30.00,602.00
192988,ovf,ovf,19.00,609.00
200468,ovf,ovf,12.00,620.00
207956,ovf,ovf,1.00,622.00
215388,ovf,ovf,-1.00,633.00
222836,ovf,ovf,-12.00,635.00
230332,ovf,ovf,-14.00,643.00
237836,ovf,ovf,-22.00,645.00
245332,ovf,ovf,-24.00,652.00
252828,ovf,ovf,-31.00,654.00
260332,ovf,ovf,-33.00,657.00
267828,ovf,ovf,-36.00,661.00
275324,ovf,ovf,-40.00,662.00
282828,ovf,ovf,-41.00,667.00
290324,ovf,ovf,-46.00,666.00
297820,ovf,ovf,-45.00,671.00
305324,ovf,ovf,-50.00,671.00
312820,ovf,ovf,-50.00,672.00
320316,ovf,ovf,-51.00,675.00
327820,ovf,ovf,-54.00,674.00
335316,ovf,ovf,-53.00,677.00
342812,ovf,ovf,-56.00,677.00
350308,ovf,ovf,-56.00,678.00
357812,ovf,ovf,-57.00,679.00
365308,ovf,ovf,-58.00,677.00
372804,ovf,ovf,-56.00,680.00
380300,ovf,ovf,-59.00,681.00
387796,ovf,ovf,-60.00,681.00
395292,ovf,ovf,-60.00,683.00
402788,ovf,ovf,-62.00,681.00
410284,ovf,ovf,-60.00,683.00
417780,ovf,ovf,-62.00,683.00
425284,ovf,ovf,-62.00,682.00
432780,ovf,ovf,-61.00,685.00
440276,ovf,ovf,-64.00,683.00
447780,ovf,ovf,-62.00,685.00
455276,ovf,ovf,-64.00,685.00
462772,ovf,ovf,-64.00,683.00
470276,ovf,ovf,-62.00,686.00
477772,ovf,ovf,-65.00,684.00
485268,ovf,ovf,-63.00,685.00
492772,ovf,ovf,-64.00,686.00
500268,ovf,ovf,-65.00,685.00
507764,ovf,ovf,-64.00,686.00
515268,ovf,ovf,-65.00,687.00
522764,ovf,ovf,-66.00,684.00
530260,ovf,ovf,-63.00,687.00
537764,ovf,ovf,-66.00,685.00
545260,ovf,ovf,-64.00,685.00
552756,ovf,ovf,-64.00,686.00
560260,ovf,ovf,-65.00,683.00
567756,ovf,ovf,-62.00,686.00
575252,ovf,ovf,-65.00,685.00
582748,inf,ovf,-64.00,684.00
590236,inf,inf,-63.00,685.00
597716,inf,inf,-64.00,683.00
605196,inf,inf,-62.00,684.00
612676,inf,inf,-63.00,685.00
620156,inf,inf,-64.00,683.00
627644,inf,inf,-62.00,685.00
635132,inf,inf,-64.00,684.00
642612,inf,inf,-63.00,684.00
650092,inf,inf,-63.00,684.00
657580,inf,inf,-63.00,682.00
665060,inf,inf,-61.00,686.00
672540,inf,inf,-65.00,683.00
680020,inf,inf,-62.00,685.00
687500,inf,inf,-64.00,685.00
694980,inf,inf,-64.00,683.00
702460,inf,inf,-62.00,685.00
709948,inf,inf,-64.00,683.00
717428,inf,inf,-62.00,684.00
724908,inf,inf,-63.00,684.00
732396,inf,inf,-63.00,682.00
739876,inf,inf,-61.00,685.00
747356,inf,inf,-64.00,684.00
754844,inf,inf,-63.00,684.00
762324,inf,inf,-63.00,685.00
769804,inf,inf,-64.00,683.00
777284,inf,inf,-62.00,684.00
784764,inf,inf,-63.00,684.00
792244,inf,inf,-63.00,683.00
799724,inf,inf,-62.00,684.00
807212,inf,inf,-63.00,681.00
814692,inf,inf,-60.00,684.00
822172,inf,inf,-63.00,682.00
829660,inf,inf,-61.00,683.00
837140,inf,inf,-62.00,683.00
844620,inf,inf,-62.00,681.00
852108,inf,inf,-60.00,683.00
859588,inf,inf,-62.00,682.00
867068,inf,inf,-61.00,682.00
874548,inf,inf,-61.00,683.00
882028,inf,inf,-62.00,680.00
889508,inf,inf,-59.00,683.00
896988,inf,inf,-62.00,682.00
904476,inf,inf,-61.00,682.00
911956,inf,inf,-61.00,684.00
919436,inf,inf,-63.00,682.00
926924,inf,inf,-61.00,683.00
934404,inf,inf,-62.00,683.00
941884,inf,inf,-62.00,682.00
949372,inf,inf,-61.00,683.00
956852,inf,inf,-62.00,680.00
964332,inf,inf,-59.00,684.00
971812,inf,inf,-63.00,682.00
979292,inf,inf,-61.00,682.00
986772,inf,inf,-61.00,684.00
994252,inf,inf,-63.00,681.00
1001740,inf,inf,-60.00,684.00
1009268,inf,inf,-63.00,682.00
1016804,inf,inf,-61.00,682.00
1024340,inf,inf,-61.00,683.00
1031868,inf,inf,-62.00,682.00
1039396,inf,inf,-61.00,683.00
1046932,inf,inf,-62.00,683.00
1054460,inf,inf,-62.00,680.00
1061996,inf,inf,-59.00,683.00
1069524,inf,inf,-62.00,682.00
1077060,inf,inf,-61.00,681.00
1084596,inf,inf,-60.00,683.00
1092132,inf,inf,-62.00,679.00
1099660,inf,inf,-58.00,683.00
1107204,inf,inf,-62.00,681.00
1114732,inf,inf,-60.00,681.00
1122268,inf,inf,-60.00,682.00
1129804,inf,inf,-61.00,681.00
1137340,inf,inf,-60.00,683.00
1144868,inf,inf,-62.00,682.00
1152404,inf,inf,-61.00,681.00
1159932,inf,inf,-60.00,683.00
1167468,inf,inf,-62.00,682.00
1174996,inf,inf,-61.00,682.00
1182532,inf,inf,-61.00,683.00
1190068,inf,inf,-62.00,681.00
1197604,inf,inf,-60.00,683.00
1205132,inf,inf,-62.00,682.00
1212676,inf,inf,-61.00,681.00
1220204,inf,inf,-60.00,683.00
1227740,inf,inf,-62.00,680.00
1235276,inf,inf,-59.00,682.00
1242812,inf,inf,-61.00,681.00
1250340,inf,inf,-60.00,680.00
1257876,inf,inf,-59.00,683.00
1265404,inf,inf,-62.00,681.00
1272940,inf,inf,-60.00,680.00
1280476,inf,inf,-59.00,682.00
1288012,inf,inf,-61.00,679.00
1295548,inf,inf,-58.00,682.00
1303084,inf,inf,-61.00,681.00
1310620,inf,inf,-60.00,680.00
1318164,inf,inf,-59.00,682.00
1325700,inf,inf,-61.00,679.00
1333236,inf,inf,-58.00,682.00
1340772,inf,inf,-61.00,680.00
1348308,inf,inf,-59.00,680.00
1355836,inf,inf,-59.00,682.00
1363372,inf,inf,-61.00,681.00
1370900,inf,inf,-60.00,682.00
1378444,inf,inf,-61.00,682.00
1385972,inf,inf,-61.00,681.00
1393508,inf,inf,-60.00,682.00
1401044,inf,inf,-61.00,681.00
1408580,inf,inf,-60.00,681.00
1416108,inf,inf,-60.00,682.00
1423652,inf,inf,-61.00,680.00
1431188,inf,inf,-59.00,683.00
1438728,inf,inf,-62.00,681.00
1446260,inf,inf,-60.00,681.00
1453796,inf,inf,-60.00,682.00
1461332,inf,inf,-61.00,679.00
1468868,inf,inf,-58.00,681.00
1476404,inf,inf,-60.00,681.00
1483948,inf,inf,-60.00,679.00
1491484,inf,inf,-58.00,681.00
1499020,inf,inf,-60.00,680.00
1506556,inf,inf,-59.00,679.00
1514084,inf,inf,-8.00,680.00
1521564,inf,inf,-9.00,678.00
1529052,inf,inf,-7.00,681.00
1536524,inf,inf,-10.00,679.00
1544052,inf,inf,-8.00,679.00
1551532,inf,inf,-8.00,680.00
1559012,inf,inf,-9.00,678.00
1566492,inf,inf,-7.00,680.00
1573972,inf,inf,-9.00,677.00
1581452,inf,inf,-6.00,681.00
1588932,inf,inf,-10.00,679.00
1596460,inf,inf,-8.00,680.00
1603940,inf,inf,-9.00,681.00
1611412,inf,inf,-10.00,679.00
1618940,inf,inf,-8.00,681.00
1626420,inf,inf,-10.00,680.00
1633948,inf,inf,-9.00,680.00
1641420,inf,inf,-9.00,681.00
1648900,inf,inf,-10.00,680.00
1656428,inf,inf,-9.00,681.00
1663908,inf,inf,-10.00,681.00
1671444,inf,inf,-10.00,680.00
1678972,inf,inf,-9.00,682.00
1686444,inf,inf,-11.00,679.00
1693980,inf,inf,-8.00,680.00
1701452,inf,inf,-9.00,680.00
1708932,inf,inf,-9.00,679.00
1716412,inf,inf,-8.00,681.00
1723892,inf,inf,-10.00,677.00
1731420,inf,inf,-6.00,681.00
1738900,inf,inf,-10.00,678.00
1746428,inf,inf,-7.00,679.00
1753908,inf,inf,-8.00,680.00
1761380,inf,inf,-9.00,677.00
1768860,inf,inf,-6.00,680.00
1776332,inf,inf,-9.00,678.00
1783816,inf,inf,-7.00,680.00
1791292,inf,inf,-9.00,679.00
1798772,inf,inf,-8.00,678.00
1806252,inf,inf,-7.00,680.00
1813732,inf,inf,-9.00,678.00
1821212,inf,inf,-7.00,680.00
1828692,inf,inf,-9.00,679.00
1836172,inf,inf,-8.00,679.00
1843652,inf,inf,-8.00,679.00
1851124,inf,inf,-8.00,678.00
1858604,inf,inf,-7.00,680.00
1866076,inf,inf,-9.00,679.00
1873556,inf,inf,-8.00,679.00
1881036,inf,inf,-8.00,679.00
1888524,inf,inf,-8.00,677.00
1896004,inf,inf,-6.00,679.00
1903484,inf,inf,-8.00,676.00
1910972,inf,inf,-5.00,679.00
1918452,inf,inf,-8.00,677.00
1925932,inf,inf,-6.00,677.00
1933412,inf,inf,-6.00,678.00
1940884,inf,inf,-7.00,676.00
1948364,inf,inf,-5.00,678.00
1955836,inf,inf,-7.00,676.00
1963324,inf,inf,-5.00,679.00
1970804,inf,inf,-8.00,677.00
1978284,inf,inf,-6.00,677.00
1985764,inf,inf,-6.00,679.00
1993244,inf,inf,-8.00,676.00
