Tempo, Uk, xhat, Erro, Saida
568,0.35,0.00,621.00,0.00
8552,0.65,0.00,621.00,0.00
16408,0.95,0.01,621.00,0.00
24328,1.24,0.01,621.00,0.00
32260,1.54,0.01,621.00,3.00
40204,1.83,0.01,618.00,20.00
48204,2.06,0.02,601.00,43.00
56192,2.26,0.03,578.00,77.00
64192,2.41,0.03,544.00,118.00
72240,2.52,0.04,503.00,165.00
80288,2.58,0.05,456.00,212.00
88340,2.63,0.06,409.00,264.00
96396,2.63,0.07,357.00,316.00
104460,2.61,0.08,305.00,366.00
112564,2.57,0.09,255.00,421.00
120668,2.48,0.10,200.00,470.00
128772,2.40,0.11,151.00,515.00
136884,2.30,0.12,106.00,560.00
144996,2.18,0.13,61.00,598.00
153060,2.07,0.13,23.00,634.00
161124,1.95,0.14,-13.00,664.00
169196,1.83,0.14,-43.00,690.00
177276,1.71,0.15,-69.00,711.00
185356,1.60,0.15,-90.00,727.00
193428,1.50,0.15,-106.00,744.00
201556,1.39,0.16,-123.00,758.00
209692,1.28,0.16,-137.00,764.00
217820,1.19,0.16,-143.00,772.00
225948,1.09,0.16,-151.00,777.00
234068,1.00,0.16,-156.00,776.00
242188,0.93,0.16,-155.00,772.00
250316,0.87,0.16,-151.00,768.00
258444,0.81,0.16,-147.00,762.00
266572,0.76,0.15,-141.00,756.00
274700,0.72,0.15,-135.00,745.00
282828,0.70,0.15,-124.00,735.00
290956,0.67,0.15,-114.00,725.00
299076,0.66,0.15,-104.00,714.00
307208,0.65,0.14,-93.00,700.00
315276,0.65,0.14,-79.00,686.00
323348,0.67,0.14,-65.00,674.00
331428,0.68,0.14,-53.00,657.00
339508,0.72,0.13,-36.00,646.00
347580,0.74,0.13,-25.00,631.00
355652,0.79,0.13,-10.00,619.00
363724,0.83,0.13,2.00,609.00
371724,0.87,0.12,12.00,597.00
379772,0.92,0.12,24.00,589.00
387828,0.96,0.12,32.00,585.00
395884,0.99,0.12,36.00,579.00
403940,1.03,0.12,42.00,574.00
411996,1.07,0.12,47.00,574.00
420052,1.09,0.12,47.00,575.00
428100,1.11,0.12,46.00,577.00
436164,1.12,0.12,44.00,582.00
444228,1.12,0.12,39.00,584.00
452292,1.14,0.12,37.00,591.00
460356,1.13,0.12,30.00,594.00
468420,1.13,0.12,27.00,603.00
476484,1.11,0.13,18.00,607.00
484556,1.10,0.13,14.00,614.00
492612,1.08,0.13,7.00,619.00
500612,1.07,0.13,2.00,623.00
508620,1.05,0.13,-2.00,628.00
516644,1.04,0.13,-7.00,632.00
524668,1.02,0.13,-11.00,633.00
532740,1.01,0.13,-12.00,638.00
540812,0.98,0.13,-17.00,638.00
548876,0.98,0.13,-17.00,639.00
556948,0.96,0.13,-18.00,641.00
565020,0.95,0.13,-20.00,640.00
573092,0.94,0.13,-19.00,640.00
581164,0.93,0.13,-19.00,639.00
589236,0.93,0.13,-18.00,635.00
597308,0.93,0.13,-14.00,636.00
605380,0.92,0.13,-15.00,632.00
613452,0.93,0.13,-11.00,631.00
621524,0.93,0.13,-10.00,628.00
629596,0.94,0.13,-7.00,626.00
637620,0.94,0.13,-5.00,623.00
645644,0.95,0.13,-2.00,621.00
653652,0.96,0.13,0.00,620.00
661652,0.96,0.13,1.00,618.00
669652,0.97,0.13,3.00,617.00
677660,0.97,0.13,4.00,615.00
685668,0.98,0.13,6.00,614.00
693676,0.99,0.13,7.00,614.00
701684,0.99,0.13,7.00,613.00
709684,1.00,0.13,8.00,614.00
717684,1.00,0.13,7.00,613.00
725692,1.01,0.13,8.00,614.00
733700,1.01,0.13,7.00,614.00
741716,1.01,0.13,7.00,615.00
749724,1.01,0.13,6.00,616.00
757724,1.01,0.13,5.00,616.00
765740,1.01,0.13,5.00,617.00
773748,1.01,0.13,4.00,618.00
781756,1.01,0.13,3.00,619.00
789764,1.00,0.13,2.00,619.00
797764,1.01,0.13,2.00,621.00
805756,1.00,0.13,0.00,620.00
813756,1.00,0.13,1.00,624.00
821764,0.99,0.13,-3.00,622.00
829788,0.99,0.13,-1.00,624.00
837812,0.99,0.13,-3.00,623.00
845832,0.99,0.13,-2.00,624.00
853844,0.98,0.13,-3.00,624.00
