Tempo, Uk, xhat, Erro, Saida
568,0.35,0.00,621.00,0.00
8552,0.65,0.00,621.00,0.00
16408,0.96,0.00,621.00,0.00
24312,1.27,0.01,621.00,0.00
32244,1.58,0.01,621.00,2.00
40188,1.88,0.01,619.00,15.00
48180,2.13,0.02,606.00,43.00
56176,2.31,0.02,578.00,76.00
64176,2.46,0.03,545.00,115.00
72232,2.58,0.04,506.00,162.00
80288,2.64,0.05,459.00,209.00
88340,2.69,0.06,412.00,259.00
96396,2.69,0.07,362.00,312.00
104444,2.66,0.08,309.00,367.00
112556,2.60,0.09,254.00,418.00
120660,2.53,0.10,203.00,470.00
128772,2.43,0.11,151.00,516.00
136892,2.33,0.12,105.00,560.00
145012,2.21,0.13,61.00,599.00
153084,2.10,0.13,22.00,634.00
161148,1.97,0.14,-13.00,663.00
169220,1.86,0.14,-42.00,688.00
177292,1.74,0.15,-67.00,708.00
185364,1.64,0.15,-87.00,728.00
193436,1.51,0.15,-107.00,744.00
201564,1.40,0.16,-123.00,754.00
209692,1.31,0.16,-133.00,766.00
217828,1.19,0.16,-145.00,775.00
225956,1.09,0.16,-154.00,778.00
234076,1.00,0.16,-157.00,779.00
242196,0.92,0.16,-158.00,778.00
250324,0.85,0.16,-157.00,775.00
258452,0.79,0.16,-154.00,769.00
266580,0.73,0.16,-148.00,761.00
274708,0.69,0.15,-140.00,752.00
282836,0.66,0.15,-131.00,742.00
290964,0.63,0.15,-121.00,730.00
299084,0.62,0.15,-109.00,715.00
307208,0.63,0.14,-94.00,702.00
315276,0.63,0.14,-81.00,687.00
323348,0.65,0.14,-66.00,671.00
331420,0.68,0.13,-50.00,659.00
339492,0.70,0.13,-38.00,642.00
347564,0.75,0.13,-21.00,630.00
355644,0.78,0.13,-9.00,618.00
363668,0.83,0.13,3.00,604.00
371668,0.88,0.12,17.00,596.00
379724,0.92,0.12,25.00,589.00
387788,0.96,0.12,32.00,581.00
395852,1.01,0.12,40.00,576.00
403916,1.04,0.12,45.00,574.00
411972,1.07,0.12,47.00,573.00
420028,1.10,0.12,48.00,574.00
428084,1.11,0.12,47.00,578.00
436140,1.12,0.12,43.00,579.00
444204,1.14,0.12,42.00,585.00
452268,1.13,0.12,36.00,590.00
460332,1.13,0.12,31.00,597.00
468396,1.12,0.12,24.00,601.00
476460,1.12,0.12,20.00,609.00
484524,1.09,0.13,12.00,614.00
492580,1.08,0.13,7.00,619.00
500580,1.07,0.13,2.00,625.00
508588,1.04,0.13,-4.00,628.00
516612,1.03,0.13,-7.00,633.00
524636,1.01,0.13,-12.00,636.00
532708,0.99,0.13,-15.00,635.00
540772,0.99,0.13,-14.00,640.00
548836,0.96,0.13,-19.00,639.00
556908,0.96,0.13,-18.00,639.00
564980,0.95,0.13,-18.00,641.00
573052,0.93,0.13,-20.00,638.00
581124,0.94,0.13,-17.00,637.00
589196,0.93,0.13,-16.00,637.00
597268,0.92,0.13,-16.00,633.00
605348,0.93,0.13,-12.00,633.00
613420,0.92,0.13,-12.00,628.00
621492,0.94,0.13,-7.00,628.00
629516,0.93,0.13,-7.00,623.00
637540,0.96,0.13,-2.00,624.00
645564,0.94,0.13,-3.00,620.00
653588,0.96,0.13,1.00,620.00
661596,0.96,0.13,1.00,616.00
669596,0.98,0.13,5.00,617.00
677604,0.97,0.13,4.00,614.00
685612,0.99,0.13,7.00,615.00
693620,0.98,0.13,6.00,613.00
701628,1.00,0.13,8.00,614.00
709628,1.00,0.13,7.00,613.00
717636,1.01,0.13,8.00,615.00
725644,1.00,0.13,6.00,613.00
733652,1.02,0.13,8.00,615.00
741668,1.01,0.13,6.00,614.00
749676,1.02,0.13,7.00,616.00
757684,1.01,0.13,5.00,615.00
765700,1.02,0.13,6.00,617.00
773708,1.01,0.13,4.00,619.00
781716,1.01,0.13,2.00,619.00
789732,1.01,0.13,2.00,621.00
797724,1.00,0.13,0.00,620.00
805716,1.01,0.13,1.00,622.00
813732,1.00,0.13,-1.00,620.00
821756,1.01,0.13,1.00,623.00
829764,0.99,0.13,-2.00,621.00
837772,1.00,0.13,0.00,625.00
845756,0.98,0.13,-4.00,623.00
853780,0.99,0.13,-2.00,625.00
