Tempo, Uk, xhat, Erro, Saida
568,0.59,0.00,621.00,0.00
8544,1.06,0.00,621.00,0.00
16400,1.61,0.01,621.00,0.00
24324,2.10,0.01,621.00,2.00
32268,2.62,0.01,619.00,17.00
40268,3.00,0.02,604.00,44.00
48248,3.35,0.03,577.00,78.00
56248,3.62,0.04,543.00,117.00
64296,3.86,0.05,504.00,160.00
72344,4.03,0.06,461.00,210.00
80404,4.12,0.07,411.00,261.00
88468,4.18,0.08,360.00,314.00
96524,4.17,0.09,307.00,368.00
104580,4.13,0.10,253.00,417.00
112684,4.08,0.11,204.00,469.00
120788,3.95,0.12,152.00,520.00
128900,3.81,0.13,101.00,563.00
137020,3.66,0.13,58.00,604.00
145084,3.48,0.14,17.00,637.00
153148,3.34,0.15,-16.00,666.00
161228,3.16,0.15,-45.00,692.00
169308,2.99,0.15,-71.00,715.00
177380,2.80,0.16,-94.00,732.00
185444,2.65,0.16,-111.00,747.00
193564,2.47,0.16,-126.00,761.00
201684,2.29,0.16,-140.00,772.00
209812,2.12,0.17,-151.00,780.00
217948,1.95,0.17,-159.00,790.00
226076,1.76,0.17,-169.00,794.00
234204,1.62,0.17,-173.00,801.00
242332,1.41,0.17,-180.00,805.00
250460,1.26,0.17,-184.00,808.00
258588,1.08,0.17,-187.00,812.00
266708,0.91,0.17,-191.00,810.00
274836,0.77,0.16,-189.00,807.00
282956,0.63,0.16,-186.00,804.00
291084,0.49,0.16,-183.00,795.00
299204,0.41,0.16,-174.00,785.00
307332,0.31,0.16,-164.00,771.00
315452,0.27,0.15,-150.00,756.00
323572,0.22,0.15,-135.00,736.00
331700,0.24,0.14,-115.00,716.00
339828,0.24,0.14,-95.00,694.00
347900,0.30,0.14,-73.00,669.00
355972,0.38,0.13,-48.00,645.00
364044,0.47,0.13,-24.00,621.00
372108,0.58,0.12,0.00,597.00
380100,0.72,0.12,24.00,574.00
388156,0.86,0.12,47.00,553.00
396212,1.01,0.11,68.00,537.00
404276,1.15,0.11,84.00,524.00
412340,1.29,0.11,97.00,517.00
420404,1.39,0.11,104.00,517.00
428516,1.47,0.11,104.00,521.00
436636,1.52,0.11,100.00,530.00
444756,1.55,0.11,91.00,546.00
452820,1.52,0.12,75.00,561.00
460876,1.51,0.12,60.00,580.00
468932,1.43,0.12,41.00,600.00
476996,1.37,0.13,21.00,617.00
485068,1.29,0.13,4.00,634.00
493084,1.20,0.13,-13.00,647.00
501156,1.13,0.13,-26.00,661.00
509236,1.02,0.14,-40.00,672.00
517316,0.94,0.14,-51.00,681.00
525380,0.84,0.14,-60.00,686.00
533444,0.78,0.14,-65.00,689.00
541516,0.70,0.14,-68.00,688.00
549588,0.67,0.14,-67.00,685.00
557660,0.63,0.14,-64.00,679.00
565740,0.62,0.14,-58.00,675.00
573820,0.58,0.14,-54.00,663.00
581900,0.64,0.13,-42.00,655.00
589980,0.61,0.13,-34.00,641.00
598052,0.70,0.13,-20.00,631.00
606116,0.70,0.13,-10.00,617.00
614188,0.81,0.12,4.00,606.00
622196,0.84,0.12,15.00,597.00
630252,0.92,0.12,24.00,586.00
638316,0.99,0.12,35.00,577.00
646372,1.07,0.12,44.00,573.00
654428,1.11,0.12,48.00,573.00
662484,1.15,0.12,48.00,570.00
670548,1.22,0.12,51.00,572.00
678612,1.23,0.12,49.00,577.00
686676,1.25,0.12,44.00,583.00
694740,1.24,0.12,38.00,591.00
702804,1.23,0.12,30.00,599.00
710868,1.21,0.13,22.00,606.00
718932,1.19,0.13,15.00,618.00
726996,1.12,0.13,3.00,624.00
735012,1.12,0.13,-3.00,632.00
743044,1.05,0.13,-11.00,640.00
751116,1.01,0.13,-19.00,645.00
759188,0.96,0.13,-24.00,648.00
767260,0.94,0.13,-27.00,653.00
775340,0.87,0.13,-32.00,655.00
783412,0.85,0.13,-34.00,655.00
791484,0.82,0.13,-34.00,653.00
799564,0.81,0.13,-32.00,653.00
807644,0.77,0.13,-32.00,647.00
815716,0.81,0.13,-26.00,645.00
823796,0.76,0.13,-24.00,638.00
831868,0.82,0.13,-17.00,633.00
839948,0.80,0.13,-12.00,626.00
848020,0.86,0.13,-5.00,621.00
856028,0.86,0.13,0.00,612.00
864020,0.94,0.12,9.00,609.00
872028,0.92,0.13,12.00,602.00
880084,1.01,0.12,19.00,599.00
888140,1.00,0.12,22.00,597.00
896196,1.06,0.12,24.00,594.00
904244,1.08,0.12,27.00,596.00
912292,1.09,0.12,25.00,594.00
920348,1.14,0.12,27.00,600.00
928412,1.09,0.13,21.00,601.00
936476,1.14,0.12,20.00,607.00
944540,1.08,0.13,14.00,608.00
952604,1.13,0.13,13.00,616.00
960676,1.04,0.13,5.00,619.00
968676,1.08,0.13,2.00,624.00
976684,1.02,0.13,-3.00,629.00
984708,1.01,0.13,-8.00,631.00
992732,0.99,0.13,-10.00,634.00
1000804,0.97,0.13,-13.00,637.00
1008932,0.93,0.13,-16.00,636.00
1017060,0.94,0.13,-15.00,639.00
1025188,0.89,0.13,-18.00,639.00
1033308,0.90,0.13,-18.00,638.00
1041420,0.88,0.13,-17.00,638.00
1049540,0.87,0.13,-17.00,634.00
1057668,0.89,0.13,-13.00,632.00
1065796,0.87,0.13,-11.00,629.00
1073924,0.89,0.13,-8.00,624.00
1081996,0.91,0.13,-3.00,624.00
1090076,0.89,0.13,-3.00,618.00
1098148,0.96,0.13,3.00,617.00
1106212,0.93,0.13,4.00,613.00
1114276,0.99,0.13,8.00,611.00
1122332,0.97,0.13,10.00,609.00
1130436,1.02,0.13,12.00,607.00
1138556,1.02,0.13,14.00,608.00
1146668,1.03,0.13,13.00,608.00
1154780,1.04,0.13,13.00,609.00
1162892,1.04,0.13,12.00,610.00
1171004,1.05,0.13,11.00,611.00
1179116,1.05,0.13,10.00,615.00
1187228,1.03,0.13,6.00,615.00
1195292,1.05,0.13,6.00,620.00
1203356,1.00,0.13,1.00,620.00
1211404,1.04,0.13,1.00,623.00
1219460,0.99,0.13,-2.00,625.00
1227532,1.00,0.13,-4.00,625.00
