Tempo, Uk, xhat, Erro, Saida
568,0.32,0.00,595.00,0.00
8552,0.61,0.00,595.00,0.00
16408,0.91,0.00,595.00,0.00
24320,1.20,0.01,595.00,0.00
32244,1.50,0.01,595.00,3.00
40188,1.78,0.01,592.00,18.00
48180,2.03,0.01,577.00,44.00
56160,2.24,0.02,551.00,77.00
64160,2.43,0.03,518.00,117.00
72216,2.58,0.03,478.00,159.00
80264,2.71,0.04,436.00,207.00
88324,2.79,0.05,388.00,259.00
96380,2.85,0.06,336.00,309.00
104428,2.89,0.07,286.00,355.00
112540,2.91,0.07,240.00,407.00
120644,2.89,0.08,188.00,456.00
128748,2.86,0.09,139.00,498.00
136852,2.83,0.09,97.00,540.00
144908,2.76,0.10,55.00,575.00
152964,2.71,0.11,20.00,608.00
161036,2.63,0.11,-13.00,633.00
169116,2.56,0.11,-38.00,652.00
177188,2.50,0.12,-57.00,675.00
185260,2.41,0.12,-80.00,690.00
193340,2.33,0.12,-95.00,705.00
201420,2.25,0.12,-110.00,715.00
209556,2.17,0.12,-120.00,726.00
217684,2.08,0.12,-131.00,732.00
225804,2.00,0.12,-137.00,741.00
233924,1.91,0.12,-146.00,748.00
242052,1.82,0.12,-153.00,749.00
250180,1.75,0.12,-154.00,758.00
258308,1.64,0.13,-163.00,759.00
266436,1.56,0.12,-164.00,759.00
274564,1.48,0.12,-164.00,766.00
282684,1.38,0.12,-171.00,765.00
290804,1.30,0.12,-170.00,765.00
298924,1.22,0.12,-170.00,766.00
307060,1.13,0.12,-171.00,761.00
315196,1.06,0.12,-166.00,756.00
323324,0.99,0.12,-161.00,754.00
331444,0.91,0.12,-159.00,745.00
339572,0.86,0.12,-150.00,737.00
347700,0.81,0.12,-142.00,728.00
355828,0.76,0.11,-133.00,716.00
363956,0.73,0.11,-121.00,708.00
372084,0.69,0.11,-113.00,696.00
380212,0.66,0.11,-101.00,686.00
388340,0.64,0.11,-91.00,673.00
396412,0.63,0.11,-78.00,657.00
404488,0.63,0.10,-62.00,646.00
412548,0.63,0.10,-51.00,633.00
420612,0.64,0.10,-38.00,620.00
428676,0.65,0.10,-25.00,602.00
436748,0.69,0.09,-7.00,592.00
444764,0.71,0.09,3.00,580.00
452764,0.74,0.09,15.00,568.00
460808,0.78,0.09,27.00,559.00
468852,0.81,0.09,36.00,550.00
